 ,Area,Mean,Min,Max,Angle,Length
1,5.400E-4,114.902,14.613,199.355,-88.768,0.388
2,7.714E-4,139.623,14.744,203.925,-90.431,0.554
3,5.515E-4,106.583,2.989,203.018,1.206,0.396
4,8.813E-4,119.445,0.000,199.656,-0.377,0.633
5,0.127,103.476,1.000,232.000,0.000,0.000
6,0.311,129.617,0.000,232.000,0.000,0.000
7,9.102E-4,63.115,19.130,143.000,-89.635,0.654
8,0.002,82.119,5.148,157.000,-89.788,1.125
9,7.425E-4,83.461,9.521,172.667,2.684,0.534
10,0.001,102.407,25.634,186.333,1.118,0.854
11,0.280,88.515,0.000,209.000,0.000,0.000
12,0.729,116.831,0.000,209.000,0.000,0.000
13,9.276E-4,81.833,12.000,200.000,-90.000,0.667
14,0.002,93.814,9.052,196.311,-88.927,1.113
15,7.367E-4,83.223,7.987,197.273,-1.353,0.529
16,0.001,110.457,4.114,230.444,-1.759,0.950
17,0.246,80.398,2.000,226.000,0.000,0.000
18,0.730,111.323,0.000,236.000,0.000,0.000
19,9.102E-4,87.138,28.117,196.000,-89.270,0.654
20,0.001,105.377,22.753,217.370,-88.939,0.900
21,7.367E-4,98.643,27.000,204.244,0.451,0.529
22,9.334E-4,111.343,20.466,222.395,0.356,0.671
23,0.265,90.200,0.000,235.000,0.000,0.000
24,0.490,120.830,0.000,241.000,0.000,0.000
25,8.292E-4,45.270,0.403,134.000,-89.199,0.596
26,0.001,77.591,1.667,160.857,-87.797,0.976
27,6.557E-4,72.880,9.333,189.667,0.000,0.471
28,0.001,81.811,3.000,192.067,-0.311,0.767
29,0.228,71.313,0.000,215.000,0.000,0.000
30,0.585,106.364,0.000,235.000,0.000,0.000
