 ,Area,Mean,Min,Max,Angle,Length
1,3.291E-4,137.343,0.188,225.396,-88.926,0.324
2,2.092E-4,111.269,2.095,208.437,-89.153,0.206
3,3.168E-4,157.000,1.000,207.097,0.558,0.312
4,2.235E-4,141.537,0.911,191.180,-0.264,0.220
5,0.075,173.957,0.000,234.000,0.000,0.000
6,0.037,156.184,0.000,234.000,0.000,0.000
7,2.933E-4,152.579,0.333,204.667,-87.790,0.289
8,2.338E-4,145.862,0.333,203.667,-87.730,0.230
9,3.743E-4,165.814,1.486,208.000,0.157,0.369
10,2.543E-4,155.027,1.000,204.333,0.000,0.250
11,0.088,169.378,0.000,224.000,0.000,0.000
12,0.044,152.575,0.000,213.000,0.000,0.000
13,3.086E-4,162.994,120.862,213.333,-89.618,0.304
14,2.481E-4,156.050,115.050,203.000,-90.238,0.244
15,3.322E-4,171.972,1.670,216.211,-0.177,0.327
16,2.492E-4,156.660,1.471,211.890,0.710,0.245
17,0.086,173.555,0.000,231.000,0.000,0.000
18,0.046,151.685,0.000,222.000,0.000,0.000
19,3.107E-4,154.080,0.830,208.542,-88.293,0.306
20,2.440E-4,141.425,0.930,201.000,-89.517,0.240
21,3.599E-4,169.626,0.655,212.785,-0.327,0.354
22,2.594E-4,151.028,0.333,207.667,0.000,0.255
23,0.086,177.404,0.000,233.000,0.000,0.000
24,0.049,158.578,0.000,223.000,0.000,0.000
25,3.445E-4,131.308,0.520,207.443,-89.316,0.339
26,2.563E-4,111.005,0.851,164.249,-89.540,0.252
27,3.097E-4,159.059,0.690,211.000,1.142,0.305
28,2.348E-4,146.232,1.947,197.333,1.005,0.231
29,0.078,161.349,0.000,224.000,0.000,0.000
30,0.046,142.272,0.000,223.000,0.000,0.000
