colony_id,prot_ug.mL,prot_ug.cm2,prot_mg.cm2
OFAV_PP_0GT1,178.308061,833.4973165,0.833497317
OFAV_PP_0HS3,394.9508318,1343.319267,1.343319267
OFAV_PP_0HS4,182.3846723,NA,NA
OFAV_PP_2HS12,213.8328165,NA,NA
OFAV_PP_2HS2,722.2444801,691.6095289,0.691609529
OFAV_PP_2HS48,173.6490767,580.5302586,0.580530259
OFAV_PP_2HS6,155.0131394,805.8098565,0.805809856
OFAV_PP_310,417.6633804,925.4705345,0.925470535
OFAV_PP_313,366.9969259,1206.402907,1.206402907
OFAV_PP_352,400.7745622,986.7334271,0.986733427
OFAV_PP_356,177.1433149,870.7592432,0.870759243
OFAV_PP_357,323.901321,1180.25296,1.18025296
OFAV_PP_358,227.2273964,528.0595241,0.528059524
OFAV_PP_359,272.0701204,472.5359131,0.472535913
OFAV_PP_360,241.2043493,609.2690337,0.609269034
OFAV_PP_362,318.6599636,624.2779096,0.62427791
OFAV_PP_365,146.2775438,1049.65532,1.04965532
OFAV_PP_366,413.004396,838.5115865,0.838511586
OFAV_PP_367,399.0274431,1258.242003,1.258242003
OFAV_PP_368,268.5758822,1298.171553,1.298171553
OFAV_PP_369,168.4077194,691.4681943,0.691468194
OFAV_PP_371,384.4681171,861.9320611,0.861932061
OFAV_PP_9AZ5,126.4768605,685.2656281,0.685265628
OFAV_PP_9AZ9,301.1887724,1153.631874,1.153631874
OFAV_PP_9EV35,103.7643119,829.1246929,0.829124693
OFAV_PP_9EV4,234.2158728,1235.916193,1.235916193
OFAV_PP_9EV40,125.3121144,673.814832,0.673814832
OFAV_PP_9EV5,415.9162612,865.8161916,0.865816192
OFAV_PP_9GT35,266.8287631,1144.158903,1.144158903
OFAV_PP_9GT4,218.4918008,799.3059423,0.799305942
OFAV_PP_9GT46,371.6559102,913.3850095,0.91338501
OFAV_PP_9IR44,293.6179229,775.5608412,0.775560841
OFAV_PP_9JQ4,183.5494184,878.2553092,0.878255309
OFAV_PP_9JQ42,232.4687537,1547.078359,1.547078359
OFAV_PP_9JQ43,225.4802772,750.3304974,0.750330497
OFAV_PP_9JQ53,97.3582085,496.9421354,0.496942135
OFAV_PP_AZ,97.94058154,752.6748668,0.752674867
OFAV_PP_CX,386.2152362,1263.845355,1.263845355
OFAV_PP_DW,167.8253463,786.9553204,0.78695532
OFAV_PS_0HS2,346.0314965,968.933173,0.968933173
OFAV_PS_0HS3,274.3996126,1318.811176,1.318811176
OFAV_PS_0HS4,230.7216346,755.2802446,0.755280245
OFAV_PS_2HS12,194.0321331,992.9254005,0.9929254
OFAV_PS_2HS48,254.0165562,942.7738538,0.942773854
OFAV_PS_2HS6,530.6437501,1055.524747,1.055524747
OFAV_PS_310,360.5908225,1187.633993,1.187633993
OFAV_PS_313,351.2728538,937.3658662,0.937365866
OFAV_PS_352,338.460647,1277.008642,1.277008642
OFAV_PS_356,301.7711454,1196.219082,1.196219082
OFAV_PS_357,322.1542018,735.9244543,0.735924454
OFAV_PS_359,175.9785689,637.2862094,0.637286209
OFAV_PS_360,247.6104528,758.5463683,0.758546368
OFAV_PS_362,240.6219763,673.7415336,0.673741534
OFAV_PS_365_P1,425.2342299,1674.666675,1.674666675
OFAV_PS_365_P2,272.0701204,820.2527468,0.820252747
OFAV_PS_367,318.0775906,1239.639345,1.239639345
OFAV_PS_368,568.4979976,1238.646198,1.238646198
OFAV_PS_369,397.862697,1019.06898,1.01906898
OFAV_PS_370,482.8891608,1615.719599,1.615719599
OFAV_PS_371,466.0003427,1441.69358,1.44169358
OFAV_PS_9AZ5,198.1087444,909.6312998,0.9096313
OFAV_PS_9AZ9,385.6328632,2091.846397,2.091846397
OFAV_PS_9EV35,161.4192429,1192.376712,1.192376712
OFAV_PS_9EV4,181.8022993,1653.471395,1.653471395
OFAV_PS_9EV40,194.6145061,843.0685954,0.843068595
OFAV_PS_9EV5,323.3189479,1093.139148,1.093139148
