"2021-07-26";"08:55:44";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2021-07-25 10:51:19.000";"2021-07-25";"10:51:19";"F";"38";"271";"698";"96";"26.0";"0.612";"24.7";"-";"0.84";"3.8"
"2021-07-25 10:51:27.000";"2021-07-25";"10:51:27";"F";"39";"314";"953";"97";"26.0";"0.671";"27.3";"-";"0.84";"3.8"
"2021-07-25 10:51:33.000";"2021-07-25";"10:51:33";"F";"40";"372";"860";"99";"26.0";"0.567";"23.6";"-";"0.84";"3.8"
"2021-07-25 10:51:39.000";"2021-07-25";"10:51:39";"F";"41";"303";"794";"100";"26.0";"0.618";"26.0";"-";"0.84";"3.8"
"2021-07-25 10:51:45.000";"2021-07-25";"10:51:45";"F";"42";"368";"489";"100";"26.0";"0.247";"10.4";"-";"0.84";"3.8"
"2021-07-25 10:51:52.000";"2021-07-25";"10:51:52";"F";"43";"360";"968";"99";"26.0";"0.628";"26.1";"-";"0.84";"3.8"
"2021-07-25 10:52:01.000";"2021-07-25";"10:52:01";"F";"44";"206";"247";"99";"26.0";"0.166";"6.9";"-";"0.84";"3.8"
"2021-07-25 10:52:08.000";"2021-07-25";"10:52:08";"F";"45";"311";"887";"98";"26.0";"0.649";"26.7";"-";"0.84";"3.8"
"2021-07-25 10:52:13.000";"2021-07-25";"10:52:13";"F";"46";"263";"754";"95";"26.0";"0.651";"26.0";"-";"0.84";"3.8"
"2021-07-25 10:52:19.000";"2021-07-25";"10:52:19";"F";"47";"258";"344";"93";"26.0";"0.250";"9.8";"-";"0.84";"3.8"
"2021-07-25 10:52:27.000";"2021-07-25";"10:52:27";"F";"48";"306";"815";"92";"26.0";"0.625";"24.2";"-";"0.84";"3.8"
"2021-07-25 10:52:34.000";"2021-07-25";"10:52:34";"F";"49";"281";"800";"92";"26.0";"0.649";"25.1";"-";"0.84";"3.8"
"2021-07-25 10:52:40.000";"2021-07-25";"10:52:40";"F";"50";"220";"372";"93";"26.0";"0.409";"16.0";"-";"0.84";"3.9"
"2021-07-25 10:52:46.000";"2021-07-25";"10:52:46";"F";"51";"339";"606";"94";"26.0";"0.441";"17.4";"-";"0.84";"3.8"
