"2021-07-22";"10:26:42";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"2021-07-20 21:05:50.000";"2021-07-20";"21:05:50";"F";"1224";"360";"1158";"0";"0.689";"0.0"
"2021-07-20 21:06:00.000";"2021-07-20";"21:06:00";"F";"1225";"401";"1208";"1";"0.668";"0.3"
"2021-07-20 21:06:07.000";"2021-07-20";"21:06:07";"F";"1226";"401";"1184";"1";"0.661";"0.3"
"2021-07-20 21:06:24.000";"2021-07-20";"21:06:24";"F";"1227";"470";"1354";"0";"0.653";"0.0"
"2021-07-20 21:06:32.000";"2021-07-20";"21:06:32";"F";"1228";"393";"1214";"1";"0.676";"0.3"
"2021-07-20 21:06:40.000";"2021-07-20";"21:06:40";"F";"1229";"316";"949";"1";"0.667";"0.3"
"2021-07-20 21:06:47.000";"2021-07-20";"21:06:47";"F";"1230";"361";"1085";"1";"0.667";"0.3"
"2021-07-20 21:06:55.000";"2021-07-20";"21:06:55";"F";"1231";"386";"1130";"1";"0.658";"0.3"
"2021-07-20 21:07:05.000";"2021-07-20";"21:07:05";"F";"1232";"310";"925";"1";"0.665";"0.3"
"2021-07-20 21:07:12.000";"2021-07-20";"21:07:12";"F";"1233";"309";"970";"1";"0.681";"0.3"
"2021-07-20 21:07:50.000";"2021-07-20";"21:07:50";"F";"1234";"456";"1288";"0";"0.646";"0.0"
"2021-07-20 21:07:59.000";"2021-07-20";"21:07:59";"F";"1235";"387";"1176";"1";"0.671";"0.3"
"2021-07-20 21:08:05.000";"2021-07-20";"21:08:05";"F";"1236";"344";"1041";"1";"0.670";"0.3"
"2021-07-20 21:08:12.000";"2021-07-20";"21:08:12";"F";"1237";"402";"1235";"1";"0.674";"0.3"
"2021-07-20 21:08:30.000";"2021-07-20";"21:08:30";"F";"1238";"439";"1301";"0";"0.663";"0.0"
"2021-07-20 21:09:00.000";"2021-07-20";"21:09:00";"F";"1239";"258";"845";"1";"0.695";"0.3"
