"","colony_id","chla.ug.cm2","chlc2.ug.cm2"
"1","OFAV_SP_0AZ24",10.1261757343708,4.87500882308493
"2","OFAV_SP_0AZ4",5.16107374966916,-0.583356302045939
"3","OFAV_SP_0EV3_P1",7.12675577271405,1.46557126999612
"4","OFAV_SP_0EV3_P2",5.82429043490577,1.32242200718608
"5","OFAV_SP_2AZ21_P2",5.08882940600794,0.397728645067738
"6","OFAV_SP_2AZ7_P1",6.82866725524494,0.201426511046726
"7","OFAV_SP_2JQ8",5.70051981234112,0.663551179761062
"8","OFAV_SP_3EV30_P1",4.43622180935603,1.0455063080838
"9","OFAV_SP_3EV30_P3",5.03763914090885,1.19229699595486
"10","OFAV_SP_3JQ1_P3",6.6273838507904,1.35992593632785
"11","OFAV_SP_3JQ1_P4",6.16615497855594,1.33202373979466
"12","OFAV_SP_3JQ10",5.59888768668457,0.974325534735229
"13","OFAV_SP_4DW11",5.75826718963701,0.42771947197825
"14","OFAV_SP_4EV15",6.81944002184086,1.11791861046591
"15","OFAV_SP_6JQ16",6.16769726777896,0.0787689983388416
"16","OFAV_SP_8EV24",3.61787623374852,0.627640048531502
"17","OFAV_SP_9EV2",4.1969075806058,1.36085883960541
"18","OFAV_SP_DEV35",2.25500056181767,0.55772111990395
"19","OFAV_SP_EV",91.1356524416338,17.5526920736733
"20","OFAV_SS_0AZ4",5.32747288335032,1.00440987577168
"21","OFAV_SS_0DW46",5.31087110704526,1.03001373408342
"22","OFAV_SS_0EV3",2.98776206568164,0.472670197614474
"23","OFAV_SS_1AZ5",6.0409168717455,7.70014774058097
"24","OFAV_SS_2AZ2",6.00560541147078,1.32908135287613
"25","OFAV_SS_2AZ21",5.82688118401242,1.18495615752157
"26","OFAV_SS_2AZ7_P1",8.46586395844259,1.96711422720204
"27","OFAV_SS_2AZ7_P2",9.31375386131114,2.56369168623525
"28","OFAV_SS_2DW40",6.47894631272688,1.6578294165119
"29","OFAV_SS_2DW44",6.33182798036334,2.16559846139964
"30","OFAV_SS_2EV10",2.6566621466433,1.94114800928855
"31","OFAV_SS_2EV30",7.38734154804906,2.09620246805505
"32","OFAV_SS_2EV34",10.2817218507737,14.3552760096442
"33","OFAV_SS_2EV36",8.27396371697201,3.68831563207867
"34","OFAV_SS_2EV44",7.10726108064313,3.67676197725454
"35","OFAV_SS_2EV6",3.53445202699391,1.8123435810641
"36","OFAV_SS_2JQ31",7.59669092359753,7.7921472497956
"37","OFAV_SS_2JQ6",3.07898112491313,1.13849885606532
"38","OFAV_SS_2JQ8",13.3785166744428,17.5918369537193
"39","OFAV_SS_3EV30",7.47687695495032,8.54500223422894
"40","OFAV_SS_3JQ1_P1",6.9080228164512,6.00728250409756
"41","OFAV_SS_3JQ1_P2",6.41661132098127,5.64118200550381
"42","OFAV_SS_4DW11",4.76815556529569,2.13388294259515
"43","OFAV_SS_4DW14",5.69992930355476,1.49361937248158
"44","OFAV_SS_4EV14",2.29824987502571,0.640838529926203
"45","OFAV_SS_4EV15",5.49505432712034,1.5322278813643
"46","OFAV_SS_4JQ12",3.19751641267482,1.03130862127561
"47","OFAV_SS_6JQ16",11.6823884273948,9.69971091993225
"48","OFAV_SS_8EV24",5.94122839515161,1.80558085553071
"49","OFAV_SS_9AZ10",2.79108992796499,0.572726081530699
"50","OFAV_SS_9AZ7",9.87977264405858,7.39427957175535
"51","OFAV_SS_9AZ81_P1",4.33762621350801,0.496674757271911
"52","OFAV_SS_9DW37_P1",7.06138997107669,1.36688816419398
"53","OFAV_SS_9DW37_P2",5.47271334496243,1.43967231037179
"54","OFAV_SS_9EV2_P1",6.20070626167664,1.79977796668359
"55","OFAV_SS_9EV41",6.53253841317953,1.31735732655782
"56","OFAV_SS_9JQ5",5.59256338191811,1.38868658685381
"57","OFAV_PP_0GT1",6.85356553824799,1.69858886720077
"58","OFAV_PP_0HS3",6.71624206562957,1.52494220754312
"59","OFAV_PP_2HS2",4.22564921352554,0.846432156513245
"60","OFAV_PP_2HS48",4.40813082600371,0.697375501406354
"61","OFAV_PP_2HS6",5.28098609042528,1.11816134270152
"62","OFAV_PP_310",7.37453666109808,1.72901118950803
"63","OFAV_PP_313",8.8391941923025,2.05386062639715
"64","OFAV_PP_352",6.4367022720897,1.43113741970621
"65","OFAV_PP_356",5.21995994966834,1.31589639430865
"66","OFAV_PP_357",7.29948315299154,1.60065916810661
"67","OFAV_PP_358",6.73341899652145,1.40225660268319
"68","OFAV_PP_359",4.52317710863373,1.05403059992721
"69","OFAV_PP_360",5.50908707162288,1.30654529472579
"70","OFAV_PP_362",4.26019863603218,1.5440428377581
"71","OFAV_PP_365",4.98513323523453,1.47157286886604
"72","OFAV_PP_366",4.35716842976792,0.799724451090621
"73","OFAV_PP_367",9.2413989172877,2.50519565233235
"74","OFAV_PP_368",5.86948522043798,1.05999473686373
"75","OFAV_PP_369",6.17420493971126,1.53499724023168
"76","OFAV_PP_371",5.20267896578985,1.36155084313759
"77","OFAV_PP_9AZ5",5.33787748750669,1.70386035497356
"78","OFAV_PP_9AZ9",7.3465699638337,1.70034900568023
"79","OFAV_PP_9EV35",5.23388516210097,2.27648235314506
"80","OFAV_PP_9EV4",6.79017454655458,1.86337885833792
"81","OFAV_PP_9EV40",4.94755243771601,1.44065751104939
"82","OFAV_PP_9EV5",3.27135201613983,0.640177240340063
"83","OFAV_PP_9GT35",4.43328075619916,1.09000690106153
"84","OFAV_PP_9GT4",3.66990310759746,1.2934791948252
"85","OFAV_PP_9GT46",6.10257149413178,1.31070446295319
