colony_id,box_size,calices,D
30PA2T,0.999,39,39.03903904
45PP6T,0.346,14,40.46242775
55PP4T,0.511,21,41.09589041
30PP4T,0.933,39,41.80064309
45PA1ML,1.62,68,41.975
55PP5T,0.474,20,42.19409283
45PA3ML,1.249,53,42.434
15PP3ML,0.704,30,42.61363636
30PP2T,0.765,33,43.1372549
55PA3ML,1.798,78,43.382
30PP3T,0.774,34,43.92764858
55PA4T,1.591,70,43.99748586
30PA4ML,1.102,49,44.465
55PA2ML,0.535,24,44.86
55PP3ML,0.686,31,45.18950437
55PA1ML,1.701,77,45.267
45PA4T,1.435,65,45.29616725
45PP3ML,0.439,20,45.55808656
30PP1T,0.679,31,45.65537555
15PP5T,0.805,37,45.96273292
30PP1ML,0.522,24,45.97701149
30PA4T,0.174,8,45.97701149
45PA2T,1.065,49,46.00938967
30PA5ML,1.005,47,46.766
55PP5ML,0.62,29,46.77419355
45PA6T,1.08,51,47.22222222
55PA5T,1.334,64,47.97601199
30PA5T,1.312,63,48.01829268
45PP3T,0.395,19,48.10126582
45PA5ML,1.058,51,48.204
30PP5T,0.514,25,48.6381323
15PP5ML,0.738,36,48.7804878
15PA1ML,1.122,55,49.02
30PA3ML,1.28,63,49.219
55PA2T,1.3,64,49.23076923
45PA2ML,1.261,63,49.96
55PA4ML,1.12,56,50
15PA2ML,0.897,45,50.167
45PA3T,0.218,11,50.4587156
45PA1T,1.027,52,50.63291139
15PA2T,1.199,61,50.87572977
30PA1T,0.884,45,50.90497738
15PP1AT,0.626,32,51.11821086
45PP4ML,0.251,13,51.79282869
15PP1BT,0.435,23,52.87356322
45PA5T,1.207,64,53.02402651
30PA1ML,1.087,58,53.358
55PA3T,1.176,64,54.42176871
15PP4ML,0.766,42,54.83028721
15PP2ML,0.774,43,55.55555556
15PP2T,0.531,30,56.49717514
15PP4T,0.678,39,57.52212389
15PP1ML,0.612,36,58.82352941
30PP3ML,0.321,19,59.19003115
30PA3T,1.111,66,59.40594059
15PA1BT,0.386,23,59.58549223
15PA3ML,1.157,70,60.501
15PA3T,0.632,39,61.70886076
15PA4ML,1.449,93,64.182
45PA4ML,1.019,66,64.769
15PA4T,0.852,56,65.72769953
15PA5ML,0.811,62,76.449
15PA1AT,0.094,8,85.10638298
15CN1ML,NA,NA,NA
15CN2ML,NA,NA,NA
15CN3ML,NA,NA,NA
15CN4ML,NA,NA,NA
15CN5ML,NA,NA,NA
30CN1ML,NA,NA,NA
30CN2ML,NA,NA,NA
30CN3ML,NA,NA,NA
30CN4ML,NA,NA,NA
30CN5ML,NA,NA,NA
45CN1ML,NA,NA,NA
45CN2ML,NA,NA,NA
45CN3ML,NA,NA,NA
45CN4ML,NA,NA,NA
45CN5ML,NA,NA,NA
55CN1ML,NA,NA,NA
55CN2ML,NA,NA,NA
55CN3ML,NA,NA,NA
55CN4ML,NA,NA,NA
55CN5ML,NA,NA,NA
15CN1AT,NA,NA,NA
15CN1BT,NA,NA,NA
15CN2T,NA,NA,NA
15CN3T,NA,NA,NA
15CN4T,NA,NA,NA
15CN5T,NA,NA,NA
30CN1T,NA,NA,NA
30CN2T,NA,NA,NA
30CN3T,NA,NA,NA
30CN4T,NA,NA,NA
30CN5T,NA,NA,NA
45CN1T,NA,NA,NA
45CN2T,NA,NA,NA
45CN3T,NA,NA,NA
45CN4T,NA,NA,NA
45CN5T,NA,NA,NA
45CN6T,NA,NA,NA
45CN7T,NA,NA,NA
55CN1T,NA,NA,NA
55CN2T,NA,NA,NA
55CN3T,NA,NA,NA
55CN4T,NA,NA,NA
55CN5T,NA,NA,NA
55CN6T,NA,NA,NA
30PA2ML,NA,NA,NA
15OF2AT,,,NA
15OF2BT,,,NA
15OFA1BT,,,NA
15PA5T,Missing,Missing,NA
30PP4ML,no good,no good,NA
45PP1ML,missing ,missing ,NA
45PP7T,missing,missing,NA
