"colony_id","CALICE","MEASUREMENT","value","depth","act_depth","species","site"
"15MC4T","C3","CH",0.588,15,16,"MCAV","Turrumote"
"15MC4T","C3","W",0.53,15,16,"MCAV","Turrumote"
"15MC4T","C2","W",0.469,15,16,"MCAV","Turrumote"
"15MC4T","C3","CW",0.915,15,16,"MCAV","Turrumote"
"15MC4T","C4","H",0.428,15,16,"MCAV","Turrumote"
"15MC4T","C1","CH",0.608,15,16,"MCAV","Turrumote"
"15MC4T","C4","CH",0.67,15,16,"MCAV","Turrumote"
"15MC4T","C4","W",0.595,15,16,"MCAV","Turrumote"
"15MC4T","C4","CW",1.098,15,16,"MCAV","Turrumote"
"15MC4T","C5","H",0.425,15,16,"MCAV","Turrumote"
"15MC4T","C5","CH",0.666,15,16,"MCAV","Turrumote"
"15MC4T","C2","CW",0.762,15,16,"MCAV","Turrumote"
"15MC4T","C3","H",0.371,15,16,"MCAV","Turrumote"
"15MC4T","C1","CA",0.411,15,16,"MCAV","Turrumote"
"15MC4T","C1","W",0.459,15,16,"MCAV","Turrumote"
"15MC4T","C1","CW",0.857,15,16,"MCAV","Turrumote"
"15MC4T","C2","CH",0.571,15,16,"MCAV","Turrumote"
"15MC4T","C3","CA",0.435,15,16,"MCAV","Turrumote"
"15MC4T","C4","A",0.188,15,16,"MCAV","Turrumote"
"15MC4T","C4","CA",0.555,15,16,"MCAV","Turrumote"
"15MC4T","C5","A",0.201,15,16,"MCAV","Turrumote"
"15MC4T","C5","CA",0.529,15,16,"MCAV","Turrumote"
"15MC4T","C1","A",0.138,15,16,"MCAV","Turrumote"
"15MC4T","C5","CW",0.983,15,16,"MCAV","Turrumote"
"15MC4T","C2","H",0.34,15,16,"MCAV","Turrumote"
"15MC4T","C5","W",0.551,15,16,"MCAV","Turrumote"
"15MC5T","C5","A",0.19,15,15,"MCAV","Turrumote"
"15MC5T","C2","W",0.459,15,15,"MCAV","Turrumote"
"15MC5T","C1","W",0.518,15,15,"MCAV","Turrumote"
"15MC5T","C2","H",0.571,15,15,"MCAV","Turrumote"
"15MC5T","C2","CH",0.823,15,15,"MCAV","Turrumote"
"15MC5T","C5","CW",0.878,15,15,"MCAV","Turrumote"
"15MC5T","C3","W",0.589,15,15,"MCAV","Turrumote"
"15MC5T","C3","CW",0.826,15,15,"MCAV","Turrumote"
"15MC5T","C3","H",0.435,15,15,"MCAV","Turrumote"
"15MC5T","C3","CH",0.802,15,15,"MCAV","Turrumote"
"15MC5T","C1","CA",0.486,15,15,"MCAV","Turrumote"
"15MC5T","C4","CH",0.689,15,15,"MCAV","Turrumote"
"15MC5T","C5","CA",0.413,15,15,"MCAV","Turrumote"
"15MC5T","C1","A",0.226,15,15,"MCAV","Turrumote"
