 ,Area,Mean,Min,Max,Angle,Length
1,0.001,78.551,4.556,177.127,-90.403,0.603
2,0.002,101.654,5.147,217.364,-89.752,0.981
3,0.001,82.847,4.000,183.975,-1.801,0.675
4,0.002,103.830,1.445,228.337,-1.491,1.142
5,0.336,88.738,0.000,245.000,0.000,0.000
6,0.799,120.983,0.000,245.000,0.000,0.000
7,9.508E-4,57.177,2.000,142.000,-90.000,0.446
8,0.002,93.477,2.759,215.165,-90.329,0.739
9,0.001,73.754,3.000,164.784,-2.654,0.642
10,0.002,92.322,3.172,237.085,-4.164,1.111
11,0.248,70.649,0.000,250.000,0.000,0.000
12,0.660,97.276,0.000,250.000,0.000,0.000
13,0.001,96.628,14.667,210.667,-90.000,0.552
14,0.002,119.086,19.780,212.492,-90.556,0.875
15,0.001,92.183,7.096,195.333,-0.421,0.577
16,0.002,85.211,0.000,190.660,-1.076,0.904
17,0.256,89.808,4.000,244.000,0.000,0.000
18,0.647,118.310,0.000,248.000,0.000,0.000
19,0.001,100.242,4.649,215.013,-89.241,0.641
20,0.002,122.837,3.914,215.668,-89.762,1.023
21,0.001,126.731,17.435,232.599,-1.169,0.624
22,0.002,148.873,17.676,239.273,0.521,0.934
23,0.328,109.060,3.000,248.000,0.000,0.000
24,0.695,137.427,0.000,248.000,0.000,0.000
25,0.001,77.367,4.333,188.333,-90.000,0.616
26,0.002,108.787,11.789,211.268,-90.500,0.972
27,0.001,76.164,13.522,160.895,-1.884,0.646
28,0.002,93.834,7.764,212.755,-0.984,0.989
29,0.287,80.440,3.000,233.000,0.000,0.000
30,0.699,121.495,0.000,238.000,0.000,0.000
