SENSOR,Date,Time,LightRaw,LightCrrx,Light_int_10m,depth
12081,13/07/2021 ,10:10:00,174,22.8114,0.01368684,shallow
12081,13/07/2021 ,10:20:00,500,65.55,0.03933,shallow
12081,13/07/2021 ,10:30:00,1131,148.2741,0.08896446,shallow
12081,13/07/2021 ,10:40:00,1309,171.6099,0.10296594,shallow
12081,13/07/2021 ,10:50:00,866,113.5326,0.06811956,shallow
12081,13/07/2021 ,11:00:00,601,78.7911,0.04727466,shallow
12081,13/07/2021 ,11:10:00,616,80.7576,0.04845456,shallow
12081,13/07/2021 ,11:20:00,1281,167.9391,0.10076346,shallow
12081,13/07/2021 ,11:30:00,1207,158.2377,0.09494262,shallow
12081,13/07/2021 ,11:40:00,1125,147.4875,0.0884925,shallow
12081,13/07/2021 ,11:50:00,1503,197.0433,0.11822598,shallow
12081,13/07/2021 ,12:00:00,1585,207.7935,0.1246761,shallow
12081,13/07/2021 ,12:10:00,1527,200.1897,0.12011382,shallow
12081,13/07/2021 ,12:20:00,1527,200.1897,0.12011382,shallow
12081,13/07/2021 ,12:30:00,1481,194.1591,0.11649546,shallow
12081,13/07/2021 ,12:40:00,1558,204.2538,0.12255228,shallow
12081,13/07/2021 ,12:50:00,1530,200.583,0.1203498,shallow
12081,13/07/2021 ,13:00:00,1098,143.9478,0.08636868,shallow
12081,13/07/2021 ,13:10:00,1552,203.4672,0.12208032,shallow
12081,13/07/2021 ,13:20:00,1494,195.8634,0.11751804,shallow
12081,13/07/2021 ,13:30:00,1115,146.1765,0.0877059,shallow
12081,13/07/2021 ,13:40:00,1106,144.9966,0.08699796,shallow
12081,13/07/2021 ,13:50:00,1336,175.1496,0.10508976,shallow
12081,13/07/2021 ,14:00:00,1010,132.411,0.0794466,shallow
12081,13/07/2021 ,14:10:00,658,86.2638,0.05175828,shallow
12081,13/07/2021 ,14:20:00,591,77.4801,0.04648806,shallow
12081,13/07/2021 ,14:30:00,764,100.1604,0.06009624,shallow
12081,13/07/2021 ,14:40:00,627,82.1997,0.04931982,shallow
12081,13/07/2021 ,14:50:00,873,114.4503,0.06867018,shallow
12081,13/07/2021 ,15:00:00,654,85.7394,0.05144364,shallow
12081,13/07/2021 ,15:10:00,356,46.6716,0.02800296,shallow
12081,13/07/2021 ,15:20:00,468,61.3548,0.03681288,shallow
12081,13/07/2021 ,15:30:00,460,60.306,0.0361836,shallow
12081,13/07/2021 ,15:40:00,241,31.5951,0.01895706,shallow
12081,13/07/2021 ,15:50:00,308,40.3788,0.02422728,shallow
12081,13/07/2021 ,16:00:00,250,32.775,0.019665,shallow
12081,13/07/2021 ,16:10:00,202,26.4822,0.01588932,shallow
12081,13/07/2021 ,16:20:00,197,25.8267,0.01549602,shallow
12081,13/07/2021 ,16:30:00,235,30.8085,0.0184851,shallow
12081,13/07/2021 ,16:40:00,248,32.5128,0.01950768,shallow
12081,13/07/2021 ,16:50:00,281,36.8391,0.02210346,shallow
12081,13/07/2021 ,17:00:00,432,56.6352,0.03398112,shallow
12081,13/07/2021 ,17:10:00,277,36.3147,0.02178882,shallow
12081,13/07/2021 ,17:20:00,268,35.1348,0.02108088,shallow
12081,13/07/2021 ,17:30:00,195,25.5645,0.0153387,shallow
12081,13/07/2021 ,17:40:00,173,22.6803,0.01360818,shallow
12081,13/07/2021 ,17:50:00,105,13.7655,0.0082593,shallow
12081,13/07/2021 ,18:00:00,90,11.799,0.0070794,shallow
12081,13/07/2021 ,18:10:00,88,11.5368,0.00692208,shallow
12081,13/07/2021 ,18:20:00,51,6.6861,0.00401166,shallow
12081,13/07/2021 ,18:30:00,30,3.933,0.0023598,shallow
12081,13/07/2021 ,18:40:00,20,2.622,0.0015732,shallow
12081,13/07/2021 ,18:50:00,16,2.0976,0.00125856,shallow
12081,13/07/2021 ,19:00:00,3,0.3933,0.00023598,shallow
12081,13/07/2021 ,19:10:00,0,0,0,shallow
12081,13/07/2021 ,19:20:00,0,0,0,shallow
12081,13/07/2021 ,19:30:00,0,0,0,shallow
12081,13/07/2021 ,19:40:00,0,0,0,shallow
12081,13/07/2021 ,19:50:00,0,0,0,shallow
12081,13/07/2021 ,20:00:00,0,0,0,shallow
12081,13/07/2021 ,20:10:00,0,0,0,shallow
12081,13/07/2021 ,20:20:00,0,0,0,shallow
12081,13/07/2021 ,20:30:00,0,0,0,shallow
12081,13/07/2021 ,20:40:00,0,0,0,shallow
12081,13/07/2021 ,20:50:00,0,0,0,shallow
12081,13/07/2021 ,21:00:00,0,0,0,shallow
12081,13/07/2021 ,21:10:00,0,0,0,shallow
12081,13/07/2021 ,21:20:00,0,0,0,shallow
12081,13/07/2021 ,21:30:00,0,0,0,shallow
12081,13/07/2021 ,21:40:00,0,0,0,shallow
12081,13/07/2021 ,21:50:00,0,0,0,shallow
12081,13/07/2021 ,22:00:00,0,0,0,shallow
12081,13/07/2021 ,22:10:00,0,0,0,shallow
12081,13/07/2021 ,22:20:00,0,0,0,shallow
12081,13/07/2021 ,22:30:00,0,0,0,shallow
12081,13/07/2021 ,22:40:00,0,0,0,shallow
12081,13/07/2021 ,22:50:00,0,0,0,shallow
12081,13/07/2021 ,23:00:00,0,0,0,shallow
12081,13/07/2021 ,23:10:00,0,0,0,shallow
12081,13/07/2021 ,23:20:00,0,0,0,shallow
12081,13/07/2021 ,23:30:00,0,0,0,shallow
12081,13/07/2021 ,23:40:00,0,0,0,shallow
12081,13/07/2021 ,23:50:00,0,0,0,shallow
12081,13/07/2021 ,24:00:00,0,0,0,shallow
12081,13/08/2021 ,0:10:00,0,0,0,shallow
12081,13/08/2021 ,0:20:00,0,0,0,shallow
12081,13/08/2021 ,0:30:00,0,0,0,shallow
