SENSOR,Date,Time,LightRaw,LightCrrx,Light_int_10m,depth,y,m,d
12080,1/8/21,13:20:00,432,103.8528,0.06231168,deep,2021,8,1
12080,1/8/21,13:30:00,425,102.17,0.061302,deep,2021,8,1
12080,1/8/21,13:40:00,408,98.0832,0.05884992,deep,2021,8,1
12080,1/8/21,13:50:00,404,97.1216,0.05827296,deep,2021,8,1
12080,1/8/21,14:00:00,351,84.3804,0.05062824,deep,2021,8,1
12080,1/8/21,14:10:00,261,62.7444,0.03764664,deep,2021,8,1
12080,1/8/21,14:20:00,182,43.7528,0.02625168,deep,2021,8,1
12080,1/8/21,14:30:00,332,79.8128,0.04788768,deep,2021,8,1
12080,1/8/21,14:40:00,208,50.0032,0.03000192,deep,2021,8,1
12080,1/8/21,14:50:00,177,42.5508,0.02553048,deep,2021,8,1
12080,1/8/21,15:00:00,317,76.2068,0.04572408,deep,2021,8,1
12080,1/8/21,15:10:00,216,51.9264,0.03115584,deep,2021,8,1
12080,1/8/21,15:20:00,234,56.2536,0.03375216,deep,2021,8,1
12080,1/8/21,15:30:00,241,57.9364,0.03476184,deep,2021,8,1
12080,1/8/21,15:40:00,234,56.2536,0.03375216,deep,2021,8,1
12080,1/8/21,15:50:00,221,53.1284,0.03187704,deep,2021,8,1
12080,1/8/21,16:00:00,190,45.676,0.0274056,deep,2021,8,1
12080,1/8/21,16:10:00,189,45.4356,0.02726136,deep,2021,8,1
12080,1/8/21,16:20:00,190,45.676,0.0274056,deep,2021,8,1
12080,1/8/21,16:30:00,181,43.5124,0.02610744,deep,2021,8,1
12080,1/8/21,16:40:00,132,31.7328,0.01903968,deep,2021,8,1
12080,1/8/21,16:50:00,128,30.7712,0.01846272,deep,2021,8,1
12080,1/8/21,17:00:00,127,30.5308,0.01831848,deep,2021,8,1
12080,1/8/21,17:10:00,126,30.2904,0.01817424,deep,2021,8,1
12080,1/8/21,17:20:00,110,26.444,0.0158664,deep,2021,8,1
12080,1/8/21,17:30:00,96,23.0784,0.01384704,deep,2021,8,1
12080,1/8/21,17:40:00,69,16.5876,0.00995256,deep,2021,8,1
12080,1/8/21,17:50:00,39,9.3756,0.00562536,deep,2021,8,1
12080,1/8/21,18:00:00,25,6.01,0.003606,deep,2021,8,1
12080,1/8/21,18:10:00,20,4.808,0.0028848,deep,2021,8,1
12080,1/8/21,18:20:00,18,4.3272,0.00259632,deep,2021,8,1
12080,1/8/21,18:30:00,13,3.1252,0.00187512,deep,2021,8,1
12080,1/8/21,18:40:00,8,1.9232,0.00115392,deep,2021,8,1
12080,1/8/21,18:50:00,3,0.7212,0.00043272,deep,2021,8,1
12080,1/8/21,19:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,19:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,19:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,19:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,19:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,19:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,20:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,20:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,20:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,20:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,20:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,20:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,21:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,21:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,21:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,21:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,21:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,21:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,22:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,22:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,22:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,22:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,22:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,22:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,23:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,23:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,23:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,23:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,23:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,23:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,00:00:00,0,0,0,deep,2021,8,1
12081,1/8/21,00:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,00:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,00:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,00:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,00:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,01:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,01:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,01:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,01:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,01:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,01:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,02:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,02:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,02:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,02:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,02:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,02:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,03:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,03:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,03:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,03:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,03:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,03:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,04:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,04:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,04:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,04:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,04:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,04:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,05:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,05:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,05:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,05:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,05:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,05:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,06:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,06:10:00,5,0.6555,0.0003933,shallow,2021,8,1
12081,1/8/21,06:20:00,25,3.2775,0.0019665,shallow,2021,8,1
12081,1/8/21,06:30:00,56,7.3416,0.00440496,shallow,2021,8,1
12081,1/8/21,06:40:00,96,12.5856,0.00755136,shallow,2021,8,1
12081,1/8/21,06:50:00,146,19.1406,0.01148436,shallow,2021,8,1
12081,1/8/21,07:00:00,201,26.3511,0.01581066,shallow,2021,8,1
12081,1/8/21,07:10:00,266,34.8726,0.02092356,shallow,2021,8,1
12081,1/8/21,07:20:00,336,44.0496,0.02642976,shallow,2021,8,1
12081,1/8/21,07:30:00,413,54.1443,0.03248658,shallow,2021,8,1
12081,1/8/21,07:40:00,501,65.6811,0.03940866,shallow,2021,8,1
12081,1/8/21,07:50:00,589,77.2179,0.04633074,shallow,2021,8,1
12081,1/8/21,08:00:00,683,89.5413,0.05372478,shallow,2021,8,1
12081,1/8/21,08:10:00,782,102.5202,0.06151212,shallow,2021,8,1
12081,1/8/21,08:20:00,884,115.8924,0.06953544,shallow,2021,8,1
12081,1/8/21,08:30:00,981,128.6091,0.07716546,shallow,2021,8,1
12081,1/8/21,08:40:00,1085,142.2435,0.0853461,shallow,2021,8,1
12081,1/8/21,08:50:00,1198,157.0578,0.09423468,shallow,2021,8,1
12081,1/8/21,09:00:00,1306,171.2166,0.10272996,shallow,2021,8,1
12081,1/8/21,09:10:00,1415,185.5065,0.1113039,shallow,2021,8,1
12081,1/8/21,09:20:00,1518,199.0098,0.11940588,shallow,2021,8,1
12081,1/8/21,09:30:00,1631,213.8241,0.12829446,shallow,2021,8,1
12081,1/8/21,09:40:00,1733,227.1963,0.13631778,shallow,2021,8,1
12081,1/8/21,09:50:00,1842,241.4862,0.14489172,shallow,2021,8,1
12081,1/8/21,10:00:00,1922,251.9742,0.15118452,shallow,2021,8,1
12081,1/8/21,10:10:00,2017,264.4287,0.15865722,shallow,2021,8,1
12081,1/8/21,10:20:00,2124,278.4564,0.16707384,shallow,2021,8,1
12081,1/8/21,10:30:00,2198,288.1578,0.17289468,shallow,2021,8,1
12081,1/8/21,10:40:00,2281,299.0391,0.17942346,shallow,2021,8,1
12081,1/8/21,10:50:00,2370,310.707,0.1864242,shallow,2021,8,1
12081,1/8/21,11:00:00,2432,318.8352,0.19130112,shallow,2021,8,1
12081,1/8/21,11:10:00,2512,329.3232,0.19759392,shallow,2021,8,1
12081,1/8/21,11:20:00,2543,333.3873,0.20003238,shallow,2021,8,1
12081,1/8/21,11:30:00,2608,341.9088,0.20514528,shallow,2021,8,1
12081,1/8/21,11:40:00,2677,350.9547,0.21057282,shallow,2021,8,1
12081,1/8/21,11:50:00,2645,346.7595,0.2080557,shallow,2021,8,1
12081,1/8/21,12:00:00,2737,358.8207,0.21529242,shallow,2021,8,1
12081,1/8/21,12:10:00,2656,348.2016,0.20892096,shallow,2021,8,1
12081,1/8/21,12:20:00,2720,356.592,0.2139552,shallow,2021,8,1
12081,1/8/21,12:30:00,2800,367.08,0.220248,shallow,2021,8,1
12081,1/8/21,12:40:00,2776,363.9336,0.21836016,shallow,2021,8,1
12081,1/8/21,12:50:00,2794,366.2934,0.21977604,shallow,2021,8,1
12081,1/8/21,13:00:00,2764,362.3604,0.21741624,shallow,2021,8,1
12081,1/8/21,13:10:00,2741,359.3451,0.21560706,shallow,2021,8,1
12081,1/8/21,13:20:00,2640,346.104,0.2076624,shallow,2021,8,1
12081,1/8/21,13:30:00,2673,350.4303,0.21025818,shallow,2021,8,1
12081,1/8/21,13:40:00,2494,326.9634,0.19617804,shallow,2021,8,1
12081,1/8/21,13:50:00,2624,344.0064,0.20640384,shallow,2021,8,1
12081,1/8/21,14:00:00,2271,297.7281,0.17863686,shallow,2021,8,1
12081,1/8/21,14:10:00,1695,222.2145,0.1333287,shallow,2021,8,1
12081,1/8/21,14:20:00,1219,159.8109,0.09588654,shallow,2021,8,1
12081,1/8/21,14:30:00,2288,299.9568,0.17997408,shallow,2021,8,1
12081,1/8/21,14:40:00,1389,182.0979,0.10925874,shallow,2021,8,1
12081,1/8/21,14:50:00,1211,158.7621,0.09525726,shallow,2021,8,1
12081,1/8/21,15:00:00,2148,281.6028,0.16896168,shallow,2021,8,1
12081,1/8/21,15:10:00,1510,197.961,0.1187766,shallow,2021,8,1
12081,1/8/21,15:20:00,1656,217.1016,0.13026096,shallow,2021,8,1
12081,1/8/21,15:30:00,1692,221.8212,0.13309272,shallow,2021,8,1
12081,1/8/21,15:40:00,1658,217.3638,0.13041828,shallow,2021,8,1
12081,1/8/21,15:50:00,1557,204.1227,0.12247362,shallow,2021,8,1
12081,1/8/21,16:00:00,1258,164.9238,0.09895428,shallow,2021,8,1
12081,1/8/21,16:10:00,1346,176.4606,0.10587636,shallow,2021,8,1
12081,1/8/21,16:20:00,1344,176.1984,0.10571904,shallow,2021,8,1
12081,1/8/21,16:30:00,1298,170.1678,0.10210068,shallow,2021,8,1
12081,1/8/21,16:40:00,1028,134.7708,0.08086248,shallow,2021,8,1
12081,1/8/21,16:50:00,918,120.3498,0.07220988,shallow,2021,8,1
12081,1/8/21,17:00:00,918,120.3498,0.07220988,shallow,2021,8,1
12081,1/8/21,17:10:00,913,119.6943,0.07181658,shallow,2021,8,1
12081,1/8/21,17:20:00,819,107.3709,0.06442254,shallow,2021,8,1
12081,1/8/21,17:30:00,703,92.1633,0.05529798,shallow,2021,8,1
12081,1/8/21,17:40:00,523,68.5653,0.04113918,shallow,2021,8,1
12081,1/8/21,17:50:00,298,39.0678,0.02344068,shallow,2021,8,1
12081,1/8/21,18:00:00,180,23.598,0.0141588,shallow,2021,8,1
12081,1/8/21,18:10:00,154,20.1894,0.01211364,shallow,2021,8,1
12081,1/8/21,18:20:00,131,17.1741,0.01030446,shallow,2021,8,1
12081,1/8/21,18:30:00,109,14.2899,0.00857394,shallow,2021,8,1
12081,1/8/21,18:40:00,80,10.488,0.0062928,shallow,2021,8,1
12081,1/8/21,18:50:00,48,6.2928,0.00377568,shallow,2021,8,1
12081,1/8/21,19:00:00,15,1.9665,0.0011799,shallow,2021,8,1
12081,1/8/21,19:10:00,1,0.1311,0.00007866,shallow,2021,8,1
12081,1/8/21,19:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,19:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,19:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,19:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,20:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,20:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,20:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,20:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,20:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,20:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,21:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,21:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,21:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,21:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,21:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,21:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,22:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,22:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,22:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,22:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,22:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,22:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,23:00:00,0,0,0,shallow,2021,8,1
12081,1/8/21,23:10:00,0,0,0,shallow,2021,8,1
12081,1/8/21,23:20:00,0,0,0,shallow,2021,8,1
12081,1/8/21,23:30:00,0,0,0,shallow,2021,8,1
12081,1/8/21,23:40:00,0,0,0,shallow,2021,8,1
12081,1/8/21,23:50:00,0,0,0,shallow,2021,8,1
12081,1/8/21,00:00:00,0,0,0,shallow,2021,8,1
12080,2/8/21,00:10:00,0,0,0,deep,2021,8,2
12080,2/8/21,00:20:00,0,0,0,deep,2021,8,2
12080,2/8/21,00:30:00,0,0,0,deep,2021,8,2
12080,2/8/21,00:40:00,0,0,0,deep,2021,8,2
12080,2/8/21,00:50:00,0,0,0,deep,2021,8,2
12080,2/8/21,01:00:00,0,0,0,deep,2021,8,2
12080,2/8/21,01:10:00,0,0,0,deep,2021,8,2
12080,2/8/21,01:20:00,0,0,0,deep,2021,8,2
12080,2/8/21,01:30:00,0,0,0,deep,2021,8,2
12080,2/8/21,01:40:00,0,0,0,deep,2021,8,2
12080,2/8/21,01:50:00,0,0,0,deep,2021,8,2
12080,2/8/21,02:00:00,0,0,0,deep,2021,8,2
12080,2/8/21,02:10:00,0,0,0,deep,2021,8,2
12080,2/8/21,02:20:00,0,0,0,deep,2021,8,2
12080,2/8/21,02:30:00,0,0,0,deep,2021,8,2
12080,2/8/21,02:40:00,0,0,0,deep,2021,8,2
12080,2/8/21,02:50:00,0,0,0,deep,2021,8,2
12080,2/8/21,03:00:00,0,0,0,deep,2021,8,2
12080,2/8/21,03:10:00,0,0,0,deep,2021,8,2
12080,2/8/21,03:20:00,0,0,0,deep,2021,8,2
12080,2/8/21,03:30:00,0,0,0,deep,2021,8,2
12080,2/8/21,03:40:00,0,0,0,deep,2021,8,2
12080,2/8/21,03:50:00,0,0,0,deep,2021,8,2
12080,2/8/21,04:00:00,0,0,0,deep,2021,8,2
12080,2/8/21,04:10:00,0,0,0,deep,2021,8,2
12080,2/8/21,04:20:00,0,0,0,deep,2021,8,2
12080,2/8/21,04:30:00,0,0,0,deep,2021,8,2
12080,2/8/21,04:40:00,0,0,0,deep,2021,8,2
12080,2/8/21,04:50:00,0,0,0,deep,2021,8,2
12080,2/8/21,05:00:00,0,0,0,deep,2021,8,2
12080,2/8/21,05:10:00,0,0,0,deep,2021,8,2
12080,2/8/21,05:20:00,0,0,0,deep,2021,8,2
12080,2/8/21,05:30:00,0,0,0,deep,2021,8,2
12080,2/8/21,05:40:00,0,0,0,deep,2021,8,2
12080,2/8/21,05:50:00,0,0,0,deep,2021,8,2
12080,2/8/21,06:00:00,0,0,0,deep,2021,8,2
12080,2/8/21,06:10:00,0,0,0,deep,2021,8,2
12080,2/8/21,06:20:00,0,0,0,deep,2021,8,2
12080,2/8/21,06:30:00,2,0.4808,0.00028848,deep,2021,8,2
12080,2/8/21,06:40:00,8,1.9232,0.00115392,deep,2021,8,2
12080,2/8/21,06:50:00,14,3.3656,0.00201936,deep,2021,8,2
12080,2/8/21,07:00:00,22,5.2888,0.00317328,deep,2021,8,2
12080,2/8/21,07:10:00,30,7.212,0.0043272,deep,2021,8,2
12080,2/8/21,07:20:00,38,9.1352,0.00548112,deep,2021,8,2
12080,2/8/21,07:30:00,47,11.2988,0.00677928,deep,2021,8,2
12080,2/8/21,07:40:00,57,13.7028,0.00822168,deep,2021,8,2
12080,2/8/21,07:50:00,69,16.5876,0.00995256,deep,2021,8,2
12080,2/8/21,08:00:00,88,21.1552,0.01269312,deep,2021,8,2
12080,2/8/21,08:10:00,105,25.242,0.0151452,deep,2021,8,2
12080,2/8/21,08:20:00,117,28.1268,0.01687608,deep,2021,8,2
12080,2/8/21,08:30:00,127,30.5308,0.01831848,deep,2021,8,2
12080,2/8/21,08:40:00,142,34.1368,0.02048208,deep,2021,8,2
12080,2/8/21,08:50:00,159,38.2236,0.02293416,deep,2021,8,2
