,colony_id,species,treatment,recovered,airbrush_volume,surface_area,A,CA,D,di,Cdi,chla.ug.cm2,chlc2.ug.cm2,sym.cm2,prot_mg.cm2,Host_AFDW_mg.cm2,Sym_AFDW_mg.cm2,chla.sym,full_treatment
30,OFAV_PP_9GT4,OFAV,PP,p,15,4.100278552,0.0964,0.0474,9.044,0.3648,0.2325,3.669903108,1.293479195,85.055197,0.799305942,8.231148097,4.389945652,0.043147312,OFAV_PP
31,OFAV_PP_9GT46,OFAV,PP,p,13,5.289693593,0.1256,0.06,9.524,0.3837,0.2618,6.102571494,1.310704463,122.0612603,0.91338501,2.826250658,NA,0.049995973,OFAV_PP
32,OFAV_PP_9IR44,OFAV,PP,p,23,8.707520891,0.1338,0.0562,6.842,0.4206,0.2499,5.963564982,1.242710197,108.4439291,0.775560841,2.443290147,6.339347409,0.054992152,OFAV_PP
33,OFAV_PP_9JQ4,OFAV,PP,p,35,7.314763231,0.1222,0.0488,6.162,0.3898,0.2365,6.296376047,1.538207683,285.4956842,0.878255309,2.631664128,1.435453161,0.02205419,OFAV_PP
34,OFAV_PP_9JQ42,OFAV,PP,p,36,5.409470752,0.1038,0.0544,8.495,0.3819,0.2576,4.137521215,0.624404892,194.9358909,1.547078359,6.48861998,0,0.021225036,OFAV_PP
35,OFAV_PP_9JQ43,OFAV,PP,p,17,5.108635097,0.1014,0.0506,10.499,0.3781,0.2354,3.665876432,0.625191453,95.53269266,0.750330497,3.660468921,2.329389313,0.038373004,OFAV_PP
36,OFAV_PP_9JQ53,OFAV,PP,p,21,4.114206128,0.1458,0.0624,7.506,0.4484,0.2556,4.512936256,0.968406754,143.5574645,0.496942135,3.828199052,3.572985782,0.031436444,OFAV_PP
37,OFAV_PP_AZ,OFAV,PP,p,49,6.376044568,0.1322,0.0574,6.606,0.438,0.2544,7.424813481,2.463239526,272.8180428,0.752674867,3.074006116,7.685015291,0.027215258,OFAV_PP
38,OFAV_PP_CX,OFAV,PP,p,17,5.194986072,0.143,0.056,6.177,0.4282,0.2502,6.3683087,1.496871193,181.8901251,1.263845355,6.381152816,4.254101877,0.035011844,OFAV_PP
39,OFAV_PP_DW,OFAV,PP,p,25,5.331476323,0.1242,0.0536,9.339,0.3866,0.2437,6.215093717,1.49325431,103.5516806,0.78695532,6.213100836,11.2539185,0.060019245,OFAV_PP
40,OFAV_PS_0HS2,OFAV,PS,p,24,8.571030641,0.1242,0.0522,8.222,0.3962,0.2326,NA,NA,140.4731882,0.968933173,4.760220994,1.680077998,NA,OFAV_PS
41,OFAV_PS_0HS3,OFAV,PS,p,34.5,7.178272981,0.1054,0.0536,11.207,0.3778,0.2349,5.612124616,2.848136321,137.1761011,1.318811176,6.488329452,4.806169965,0.040911825,OFAV_PS
42,OFAV_PS_0HS4,OFAV,PS,p,15,4.582172702,0.079,0.032,8.464,0.3291,0.1942,3.5975019,0.984522036,97.47923,0.755280245,3.437234043,6.874468085,0.036905317,OFAV_PS
43,OFAV_PS_2HS12,OFAV,PS,p,26,5.080779944,NA,NA,NA,NA,NA,3.798803244,0.9720358,120.4703491,0.9929254,5.245257676,4.093859649,0.031533097,OFAV_PS
