"","bag_number","depth","act_depth","species","colony_number","site","colony_id","airbrush_volume","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","W","H","CW","CH","A","CA","di","Cdi","A.CA","D","chla.ug.cm2","chlc2.ug.cm2"
"19","173",55,56,"AAGA",4,"Media Luna","55AA4ML","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30688100491046,1.74685784109406
"20","175",55,64,"AAGA",5,"Media Luna","55AA5ML","19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22108007172946,1.2640820730706
"21","134",15,13,"CNAT",1,"Media Luna","15CN1ML","26",NA,NA,29.7616580362777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49491049266302,0.833047409471686
"22","154",15,24,"CNAT",2,"Media Luna","15CN2ML","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93031608824206,0.722961500365121
"23","157",15,24,"CNAT",3,"Media Luna","15CN3ML","20",NA,NA,7.1633234781567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27617319769836,0.717363259977606
"24","306",15,23,"CNAT",4,"Media Luna","15CN4ML","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24858538701082,1.12075945255324
"25","309",15,24,"CNAT",5,"Media Luna","15CN5ML","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.61730567457179,1.37413923839644
"26","158",30,28,"CNAT",1,"Media Luna","30CN1ML","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22277532305501,1.44420267106312
"27","159",30,29,"CNAT",2,"Media Luna","30CN2ML","15",NA,NA,4.66967260428011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376723837819868,0.125176757321058
"28","327",30,32,"CNAT",3,"Media Luna","30CN3ML","40",NA,NA,18.7998290067308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72388290458466,1.51756823782088
"29","212",30,34,"CNAT",4,"Media Luna","30CN4ML","15",NA,NA,11.4724858662062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70445979430624,0.608705088954276
"30","218",30,31,"CNAT",5,"Media Luna","30CN5ML","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62307294192099,1.27985827113909
"31","335",45,48,"CNAT",1,"Media Luna","45CN1ML","24.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66577725070059,0.569501190266419
"32","344",45,47,"CNAT",2,"Media Luna","45CN2ML","27",NA,NA,3.91014952668562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07195830465112,0.567209186748073
"33","352",45,47,"CNAT",3,"Media Luna","45CN3ML","13",NA,NA,6.48414432485228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08269494557855,1.43963843142896
"34","362",45,40,"CNAT",4,"Media Luna","45CN4ML","32",NA,NA,21.1650561225839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24651371993027,1.82602572942102
"35","367",45,45,"CNAT",5,"Media Luna","45CN5ML","17",NA,NA,23.8080279204085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9566276178836,1.32992113876189
"36","183",55,58,"CNAT",1,"Media Luna","55CN1ML","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36236876921877,1.57944739404698
"37","185",55,61,"CNAT",2,"Media Luna","55CN2ML","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65362993920284,1.14029534769289
"38","188",55,60,"CNAT",3,"Media Luna","55CN3ML","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39199181664291,0.382910320623842
"39","191",55,55,"CNAT",4,"Media Luna","55CN4ML","21.5",NA,NA,20.1908604313255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","192",55,63,"CNAT",5,"Media Luna","55CN5ML","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","139",15,14,"MCAV",1,"Media Luna","15MC1ML","13.5",NA,NA,52.9120858119243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28497030804029,2.03038290996123
"42","146",15,22,"MCAV",2,"Media Luna","15MC2ML","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.71773405020712,1.36591332831883
"43","149",15,24,"MCAV",3,"Media Luna","15MC3ML","21",NA,NA,18.8364049272915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66003748222823,1.64777945239727
"44","153",15,21,"MCAV",4,"Media Luna","15MC4ML","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32632273643801,1.55370526117961
"45","155",15,25,"MCAV",5,"Media Luna","15MC5ML","25",NA,NA,20.174761991769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67956971034858,0.816800952168717
"46","142",30,25,"MCAV",1,"Media Luna","30MC1ML","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34027082073315,0.886507388585898
"47","210",30,34,"MCAV",2,"Media Luna","30MC2ML","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37174348582089,1.284272888688
"48","214",30,29,"MCAV",3,"Media Luna","30MC3ML","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70877428478338,2.46508855387332
"49","321",30,34,"MCAV",4,"Media Luna","30MC4ML","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38786204143517,0.610146482232442
"50","318",30,31,"MCAV",5,"Media Luna","30MC5ML","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68323355697622,1.3018830185232
"51","339",45,48,"MCAV",1,"Media Luna","45MC1ML","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26334855250756,1.05672712026989
