bag_number,date_collected,depth,act_depth,species,colony_number,site,colony_id,RI_status,NOTES,airbrush_date,airbrush_volume,airbrush_initials,aliquot_date,aliquot_initials,chl_box,host_PTAC_box,sym_PTAC_box,sym_density_box,ash_bag,skeleton_dry_date,skeleton_dry_initials,,,,,,
69,8/12/21,55,54,AAGA,5,Turrumote,55AA5T,Y,,7/10/23,20.0,HLE,7/10/23,HLE,,,,,,,,,,,,,
134,18-Aug,15,13,CNAT,1,Media Luna,15CN1ML,Y,,6/30/23,26.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
154,18-Aug,15,24,CNAT,2,Media Luna,15CN2ML,Y,,6/30/23,17.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
157,18-Aug,15,24,CNAT,3,Media Luna,15CN3ML,Y,,6/30/23,20.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
306,8/23/21,15,23,CNAT,4,Media Luna,15CN4ML,Y,,6/30/23,30.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
309,8/23/21,15,24,CNAT,5,Media Luna,15CN5ML,Y,,6/30/23,33.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
158,18-Aug,30,28,CNAT,1,Media Luna,30CN1ML,Y,,6/30/23,15.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
159,18-Aug,30,29,CNAT,2,Media Luna,30CN2ML,Y,,7/5/23,15.0,HLE,7/5/23,HLE,,,,,,,,,,,,,
327,8/23/21,30,32,CNAT,3,Media Luna,30CN3ML,Y,,6/30/23,40.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
212,8/23/21,30,34,CNAT,4,Media Luna,30CN4ML,Y,,7/6/23,15.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
218,8/23/21,30,31,CNAT,5,Media Luna,30CN5ML,Y,,6/30/23,37.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
335,8/23/21,45,48,CNAT,1,Media Luna,45CN1ML,Y,,6/30/23,24.5,HLE,6/30/23,HLE,,,,,,,,,,,,,
344,8/23/21,45,47,CNAT,2,Media Luna,45CN2ML,Y,,6/30/23,27.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
352,8/23/21,45,47,CNAT,3,Media Luna,45CN3ML,Y,,7/5/23,13.0,HLE,7/5/23,HLE,,,,,,,,,,,,,
362,8/24/21,45,40,CNAT,4,Media Luna,45CN4ML,Y,,6/30/23,32.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
367,8/24/21,45,45,CNAT,5,Media Luna,45CN5ML,Y,,7/6/23,17.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
183,8/19/21,55,58,CNAT,1,Media Luna,55CN1ML,Y,,7/7/23,22.0,HLE,7/7/23,HLE,,,,,,,,,,,,,
185,8/19/21,55,61,CNAT,2,Media Luna,55CN2ML,Y,,7/5/23,13.0,HLE,7/5/23,HLE,,,,,,,,,,,,,
188,8/19/21,55,60,CNAT,3,Media Luna,55CN3ML,Y,,7/7/23,13.0,HLE,7/7/23,HLE,,,,,,,,,,,,,
191,8/19/21,55,55,CNAT,4,Media Luna,55CN4ML,Y,,7/7/23,21.5,HLE,7/7/23,HLE,,,,,,,,,,,,,
192,8/19/21,55,63,CNAT,5,Media Luna,55CN5ML,Y,,6/30/23,35.0,HLE,6/30/23,HLE,,,,,,,,,,,,,
10,8/6/21,15,15,CNAT,1,Turrumote,15CN1AT,Y,,6/29/23,16.0,HLE,6/29/23,HLE,,,,,,,,,,,,,
10,8/6/21,15,15,CNAT,1,Turrumote,15CN1BT,Y,,6/29/23,17.0,HLE,6/29/23,HLE,,,,,,,,,,,,,
201,8/20/21,15,15,CNAT,2,Turrumote,15CN2T,Y,,6/20/23,17.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
208,8/20/21,15,16,CNAT,3,Turrumote,15CN3T,Y,,6/29/23,12.0,HLE,6/29/23,HLE,,,,,,,,,,,,,
269,8/20/21,15,15,CNAT,4,Turrumote,15CN4T,Y,,6/28/23,16.0,HLE,6/28/23,HLE,,,,,,,,,,,,,
272,8/20/21,15,22,CNAT,5,Turrumote,15CN5T,Y,,6/20/23,24.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
94/ PAN 84,8/12/21,30,31,CNAT,1,Turrumote,30CN1T,Y,,6/20/23,36.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
99/ PAN 89,8/12/21,30,30,CNAT,2,Turrumote,30CN2T,Y,,6/28/23,22.0,HLE,6/28/23,HLE,,,,,,,,,,,,,
101/ PAN 91,8/12/21,30,30,CNAT,3,Turrumote,30CN3T,Y,,6/19/23,20.0,HLE,6/19/23,HLE,,,,,,,,,,,,,
111,8/17/21,30,30,CNAT,4,Turrumote,30CN4T,Y,,6/20/23,16.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
114,8/17/21,30,30,CNAT,5,Turrumote,30CN5T,Y,,6/19/23,23.0,HLE,6/19/23,HLE,,,,,,,,,,,,,
18,8/10/21,45,45,CNAT,1,Turrumote,45CN1T,Y,,6/28/23,25.0,HLE,6/28/23,HLE,,,,,,,,,,,,,
23,8/10/21,45,46,CNAT,2,Turrumote,45CN2T,Y,,6/28/23,20.0,HLE,6/28/23,HLE,,,,,,,,,,,,,
39,8/10/21,45,47,CNAT,3,Turrumote,45CN3T,Y,,6/28/23,13.5,HLE,6/28/23,HLE,,,,,,,,,,,,,
