 ,Area,Mean,Min,Max,Angle,Length
1,6.551E-5,152.610,4.923,183.333,-91.762,0.092
2,1.265E-4,148.879,0.333,207.111,-89.773,0.178
3,6.051E-5,150.724,0.333,205.308,0.477,0.085
4,1.190E-4,153.728,0.333,206.624,0.242,0.168
5,0.006,157.388,0.000,219.000,0.000,0.000
6,0.022,176.511,0.000,222.000,0.000,0.000
7,6.901E-5,150.381,1.572,195.333,-88.328,0.097
8,1.195E-4,156.869,115.812,194.378,-90.481,0.168
9,6.551E-5,132.880,1.159,196.333,-0.881,0.092
10,1.240E-4,154.708,0.275,194.324,0.464,0.175
11,0.007,146.918,0.000,207.000,0.000,0.000
12,0.022,164.696,0.000,218.000,0.000,0.000
13,6.651E-5,120.331,0.000,171.333,-90.000,0.093
14,1.295E-4,148.607,1.442,201.930,-90.666,0.182
15,6.051E-5,122.352,0.067,171.333,-0.955,0.085
16,1.195E-4,160.185,0.490,210.042,1.925,0.168
17,0.006,151.049,0.000,213.000,0.000,0.000
18,0.021,168.266,0.000,229.000,0.000,0.000
19,8.001E-5,121.268,0.396,183.189,-91.081,0.112
20,1.450E-4,148.185,0.052,201.918,-91.982,0.204
21,6.851E-5,153.887,0.333,203.402,-0.843,0.096
22,1.310E-4,165.963,0.019,203.667,-0.439,0.185
23,0.008,151.359,0.000,215.000,0.000,0.000
24,0.027,170.231,0.000,230.000,0.000,0.000
25,5.951E-5,127.933,0.333,189.667,-90.000,0.083
26,1.215E-4,156.919,0.000,201.333,-90.000,0.171
27,5.651E-5,145.013,1.405,176.238,2.045,0.079
28,1.185E-4,161.694,0.367,199.349,1.699,0.167
29,0.005,148.975,0.000,214.000,0.000,0.000
30,0.017,168.567,0.000,214.000,0.000,0.000
