 ,Area,Mean,Min,Max,Angle,Length
1,4.338E-4,136.490,2.183E-11,221.000,-88.568,0.456
2,2.742E-4,146.584,3.026,223.914,-89.055,0.288
3,4.708E-4,172.557,1.408,220.438,-1.429,0.495
4,2.697E-4,184.812,0.483,220.667,-0.577,0.283
5,0.158,166.877,0.000,237.000,0.000,0.000
6,0.061,160.956,0.000,237.000,0.000,0.000
7,4.248E-4,161.207,0.333,213.379,-89.025,0.446
8,2.733E-4,159.520,0.333,215.481,-88.293,0.287
9,4.428E-4,158.156,1.510,213.752,0.351,0.465
10,2.850E-4,159.922,0.667,208.333,0.364,0.299
11,0.156,167.980,0.000,235.000,0.000,0.000
12,0.061,170.301,0.000,235.000,0.000,0.000
13,3.815E-4,162.030,49.724,208.589,-89.050,0.401
14,2.688E-4,139.192,1.020,213.963,-89.421,0.282
15,3.544E-4,176.439,1.590,222.061,0.731,0.372
16,2.507E-4,161.485,1.502,226.333,0.827,0.263
17,0.131,163.726,0.000,238.000,0.000,0.000
18,0.061,155.670,0.000,238.000,0.000,0.000
19,3.887E-4,159.500,82.605,210.039,-91.332,0.408
20,2.760E-4,155.327,61.667,223.667,-90.000,0.290
21,4.690E-4,157.739,68.495,223.667,0.221,0.493
22,2.796E-4,139.997,69.288,223.667,-0.185,0.293
23,0.159,158.083,0.000,232.000,0.000,0.000
24,0.061,141.165,0.000,232.000,0.000,0.000
25,3.716E-4,171.240,1.051,232.930,-86.929,0.390
26,2.525E-4,165.724,0.333,228.409,-87.537,0.265
27,4.122E-4,169.889,118.930,211.377,1.507,0.433
28,2.543E-4,156.029,2.457,204.104,1.427,0.267
29,0.124,159.646,0.000,235.000,0.000,0.000
30,0.060,153.722,0.000,233.000,0.000,0.000
