Site Name ,ODY12082
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,12082


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,16/07/2021 , 13:10:00,17351,17351
2,16/07/2021 , 13:20:00,16621,16621
3,16/07/2021 , 13:30:00,15916,15916
4,16/07/2021 , 13:40:00,15445,15445
5,16/07/2021 , 13:50:00,15068,15068
6,16/07/2021 , 14:00:00,14794,14794
7,16/07/2021 , 14:10:00,14538,14538
8,16/07/2021 , 14:20:00,14297,14297
9,16/07/2021 , 14:30:00,14077,14077
10,16/07/2021 , 14:40:00,13793,13793
11,16/07/2021 , 14:50:00,13462,13462
12,16/07/2021 , 15:00:00,13060,13060
13,16/07/2021 , 15:10:00,12877,12877
14,16/07/2021 , 15:20:00,12551,12551
15,16/07/2021 , 15:30:00,11661,11661
16,16/07/2021 , 15:40:00,11794,11794
17,16/07/2021 , 15:50:00,11384,11384
18,16/07/2021 , 16:00:00,7320,7320
19,16/07/2021 , 16:10:00,5104,5104
20,16/07/2021 , 16:20:00,4849,4849
21,16/07/2021 , 16:30:00,4607,4607
22,16/07/2021 , 16:40:00,4374,4374
23,16/07/2021 , 16:50:00,4121,4121
24,16/07/2021 , 17:00:00,3423,3423
25,16/07/2021 , 17:10:00,2,2
