"2021-07-16";"17:01:21";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2021-07-16 14:07:15.494";"2021-07-16";"14:07:15";"F";"361";"0";"1";"729";"-";"-"
"2021-07-16 14:08:18.458";"2021-07-16";"14:08:18";"F";"362";"2";"3";"728";"-";"-"
"2021-07-16 14:09:20.558";"2021-07-16";"14:09:20";"F";"363";"0";"2";"726";"-";"-"
"2021-07-16 14:10:23.640";"2021-07-16";"14:10:23";"F";"364";"0";"2";"722";"-";"-"
"2021-07-16 14:11:25.408";"2021-07-16";"14:11:25";"F";"365";"3";"3";"721";"-";"-"
"2021-07-16 14:12:27.176";"2021-07-16";"14:12:27";"F";"366";"2";"3";"720";"-";"-"
"2021-07-16 14:13:29.906";"2021-07-16";"14:13:29";"F";"367";"2";"1";"718";"-";"-"
"2021-07-16 14:14:32.254";"2021-07-16";"14:14:32";"F";"368";"1";"2";"714";"-";"-"
"2021-07-16 14:15:34.027";"2021-07-16";"14:15:34";"F";"369";"0";"2";"711";"-";"-"
"2021-07-16 14:16:36.957";"2021-07-16";"14:16:36";"F";"370";"0";"1";"696";"-";"-"
"2021-07-16 14:17:38.648";"2021-07-16";"14:17:38";"F";"371";"0";"2";"695";"-";"-"
"2021-07-16 14:18:41.783";"2021-07-16";"14:18:41";"F";"372";"3";"1";"694";"-";"-"
"2021-07-16 14:19:43.114";"2021-07-16";"14:19:43";"F";"373";"0";"1";"691";"-";"-"
"2021-07-16 14:20:45.800";"2021-07-16";"14:20:45";"F";"374";"0";"1";"687";"-";"-"
"2021-07-16 14:21:48.018";"2021-07-16";"14:21:48";"F";"375";"0";"1";"686";"-";"-"
"2021-07-16 14:22:51.094";"2021-07-16";"14:22:51";"F";"376";"0";"0";"685";"-";"-"
"2021-07-16 14:23:53.191";"2021-07-16";"14:23:53";"F";"377";"0";"1";"684";"-";"-"
"2021-07-16 14:24:56.130";"2021-07-16";"14:24:56";"F";"378";"2";"1";"680";"-";"-"
"2021-07-16 14:25:57.407";"2021-07-16";"14:25:57";"F";"379";"0";"3";"679";"-";"-"
"2021-07-16 14:26:59.865";"2021-07-16";"14:26:59";"F";"380";"0";"2";"676";"-";"-"
"2021-07-16 14:28:02.526";"2021-07-16";"14:28:02";"F";"381";"0";"1";"673";"-";"-"
"2021-07-16 14:29:04.518";"2021-07-16";"14:29:04";"F";"382";"0";"1";"672";"-";"-"
"2021-07-16 14:30:07.430";"2021-07-16";"14:30:07";"F";"383";"0";"2";"668";"-";"-"
"2021-07-16 14:31:09.982";"2021-07-16";"14:31:09";"F";"384";"0";"0";"665";"-";"-"
"2021-07-16 14:32:12.799";"2021-07-16";"14:32:12";"F";"385";"0";"2";"663";"-";"-"
"2021-07-16 14:33:14.188";"2021-07-16";"14:33:14";"F";"386";"0";"0";"659";"-";"-"
"2021-07-16 14:34:16.753";"2021-07-16";"14:34:16";"F";"387";"0";"1";"658";"-";"-"
"2021-07-16 14:35:19.500";"2021-07-16";"14:35:19";"F";"388";"4";"6";"652";"-";"-"
"2021-07-16 14:36:21.445";"2021-07-16";"14:36:21";"F";"389";"2";"1";"650";"-";"-"
"2021-07-16 14:37:23.037";"2021-07-16";"14:37:23";"F";"390";"0";"3";"647";"-";"-"
"2021-07-16 14:38:25.896";"2021-07-16";"14:38:25";"F";"391";"0";"2";"647";"-";"-"
"2021-07-16 14:39:28.145";"2021-07-16";"14:39:28";"F";"392";"0";"0";"642";"-";"-"
"2021-07-16 14:40:30.552";"2021-07-16";"14:40:30";"F";"393";"2";"3";"639";"-";"-"
"2021-07-16 14:41:33.239";"2021-07-16";"14:41:33";"F";"394";"0";"2";"637";"-";"-"
"2021-07-16 14:42:36.055";"2021-07-16";"14:42:36";"F";"395";"0";"0";"631";"-";"-"
"2021-07-16 14:43:38.141";"2021-07-16";"14:43:38";"F";"396";"0";"1";"628";"-";"-"
"2021-07-16 14:44:39.840";"2021-07-16";"14:44:39";"F";"397";"0";"0";"626";"-";"-"
"2021-07-16 14:45:42.355";"2021-07-16";"14:45:42";"F";"398";"0";"3";"623";"-";"-"
"2021-07-16 14:46:44.107";"2021-07-16";"14:46:44";"F";"399";"1";"2";"619";"-";"-"
"2021-07-16 14:47:47.722";"2021-07-16";"14:47:47";"F";"400";"1";"1";"616";"-";"-"
"2021-07-16 14:48:48.796";"2021-07-16";"14:48:48";"F";"401";"0";"3";"613";"-";"-"
"2021-07-16 14:49:51.391";"2021-07-16";"14:49:51";"F";"402";"0";"0";"613";"-";"-"
"2021-07-16 14:50:54.209";"2021-07-16";"14:50:54";"F";"403";"1";"0";"612";"-";"-"
"2021-07-16 14:51:56.309";"2021-07-16";"14:51:56";"F";"404";"0";"0";"609";"-";"-"
"2021-07-16 14:52:59.053";"2021-07-16";"14:52:59";"F";"405";"1";"3";"605";"-";"-"
"2021-07-16 14:54:00.820";"2021-07-16";"14:54:00";"F";"406";"0";"0";"603";"-";"-"
"2021-07-16 14:55:04.410";"2021-07-16";"14:55:04";"F";"407";"0";"2";"598";"-";"-"
"2021-07-16 14:56:05.521";"2021-07-16";"14:56:05";"F";"408";"0";"0";"593";"-";"-"
"2021-07-16 14:57:08.489";"2021-07-16";"14:57:08";"F";"409";"0";"2";"590";"-";"-"
"2021-07-16 14:58:11.143";"2021-07-16";"14:58:11";"F";"410";"0";"0";"619";"-";"-"
"2021-07-16 14:59:12.303";"2021-07-16";"14:59:12";"F";"411";"0";"1";"594";"-";"-"
"2021-07-16 15:00:14.583";"2021-07-16";"15:00:14";"F";"412";"0";"0";"587";"-";"-"
"2021-07-16 15:01:17.669";"2021-07-16";"15:01:17";"F";"413";"0";"0";"592";"-";"-"
"2021-07-16 15:02:19.569";"2021-07-16";"15:02:19";"F";"414";"0";"1";"584";"-";"-"
"2021-07-16 15:03:22.274";"2021-07-16";"15:03:22";"F";"415";"0";"0";"581";"-";"-"
"2021-07-16 15:04:24.167";"2021-07-16";"15:04:24";"F";"416";"0";"0";"580";"-";"-"
"2021-07-16 15:05:27.394";"2021-07-16";"15:05:27";"F";"417";"0";"0";"576";"-";"-"
"2021-07-16 15:06:28.833";"2021-07-16";"15:06:28";"F";"418";"0";"0";"574";"-";"-"
"2021-07-16 15:07:31.655";"2021-07-16";"15:07:31";"F";"419";"0";"0";"570";"-";"-"
"2021-07-16 15:08:34.252";"2021-07-16";"15:08:34";"F";"420";"0";"0";"570";"-";"-"
"2021-07-16 15:09:36.563";"2021-07-16";"15:09:36";"F";"421";"0";"0";"568";"-";"-"
"2021-07-16 15:10:38.974";"2021-07-16";"15:10:38";"F";"422";"0";"0";"565";"-";"-"
"2021-07-16 15:11:40.611";"2021-07-16";"15:11:40";"F";"423";"0";"0";"565";"-";"-"
"2021-07-16 15:12:44.294";"2021-07-16";"15:12:44";"F";"424";"0";"0";"560";"-";"-"
"2021-07-16 15:13:45.435";"2021-07-16";"15:13:45";"F";"425";"0";"0";"558";"-";"-"
"2021-07-16 15:14:48.158";"2021-07-16";"15:14:48";"F";"426";"0";"0";"556";"-";"-"
"2021-07-16 15:15:50.779";"2021-07-16";"15:15:50";"F";"427";"0";"5";"553";"-";"-"
"2021-07-16 15:16:53.048";"2021-07-16";"15:16:53";"F";"428";"0";"0";"551";"-";"-"
"2021-07-16 15:17:54.466";"2021-07-16";"15:17:54";"F";"429";"0";"0";"549";"-";"-"
"2021-07-16 15:18:57.435";"2021-07-16";"15:18:57";"F";"430";"0";"0";"547";"-";"-"
"2021-07-16 15:19:59.363";"2021-07-16";"15:19:59";"F";"431";"0";"0";"547";"-";"-"
"2021-07-16 15:21:02.081";"2021-07-16";"15:21:02";"F";"432";"0";"0";"500";"-";"-"
"2021-07-16 15:22:04.607";"2021-07-16";"15:22:04";"F";"433";"0";"0";"498";"-";"-"
"2021-07-16 15:23:07.419";"2021-07-16";"15:23:07";"F";"434";"0";"1";"493";"-";"-"
"2021-07-16 15:24:08.553";"2021-07-16";"15:24:08";"F";"435";"0";"0";"488";"-";"-"
"2021-07-16 15:25:11.455";"2021-07-16";"15:25:11";"F";"436";"0";"0";"534";"-";"-"
"2021-07-16 15:26:13.956";"2021-07-16";"15:26:13";"F";"437";"0";"0";"516";"-";"-"
"2021-07-16 15:27:16.226";"2021-07-16";"15:27:16";"F";"438";"0";"4";"550";"-";"-"
"2021-07-16 15:28:17.806";"2021-07-16";"15:28:17";"F";"439";"0";"1";"551";"-";"-"
"2021-07-16 15:29:20.651";"2021-07-16";"15:29:20";"F";"440";"0";"1";"549";"-";"-"
"2021-07-16 15:30:22.850";"2021-07-16";"15:30:22";"F";"441";"0";"0";"546";"-";"-"
"2021-07-16 15:31:25.673";"2021-07-16";"15:31:25";"F";"442";"0";"0";"545";"-";"-"
"2021-07-16 15:32:26.721";"2021-07-16";"15:32:26";"F";"443";"0";"0";"542";"-";"-"
"2021-07-16 15:33:29.499";"2021-07-16";"15:33:29";"F";"444";"0";"3";"541";"-";"-"
"2021-07-16 15:34:32.286";"2021-07-16";"15:34:32";"F";"445";"1";"0";"539";"-";"-"
"2021-07-16 15:35:33.887";"2021-07-16";"15:35:33";"F";"446";"0";"0";"535";"-";"-"
"2021-07-16 15:36:37.539";"2021-07-16";"15:36:37";"F";"447";"0";"3";"533";"-";"-"
"2021-07-16 15:37:38.857";"2021-07-16";"15:37:38";"F";"448";"0";"0";"530";"-";"-"
"2021-07-16 15:38:41.447";"2021-07-16";"15:38:41";"F";"449";"0";"1";"528";"-";"-"
"2021-07-16 15:39:44.426";"2021-07-16";"15:39:44";"F";"450";"0";"0";"526";"-";"-"
"2021-07-16 15:40:45.231";"2021-07-16";"15:40:45";"F";"451";"0";"3";"524";"-";"-"
"2021-07-16 15:41:47.847";"2021-07-16";"15:41:47";"F";"452";"0";"0";"521";"-";"-"
"2021-07-16 15:42:50.597";"2021-07-16";"15:42:50";"F";"453";"0";"0";"519";"-";"-"
"2021-07-16 15:43:52.902";"2021-07-16";"15:43:52";"F";"454";"1";"0";"516";"-";"-"
"2021-07-16 15:44:54.457";"2021-07-16";"15:44:54";"F";"455";"0";"0";"514";"-";"-"
"2021-07-16 15:45:57.255";"2021-07-16";"15:45:57";"F";"456";"0";"2";"512";"-";"-"
"2021-07-16 15:46:59.296";"2021-07-16";"15:46:59";"F";"457";"0";"0";"507";"-";"-"
"2021-07-16 15:48:02.173";"2021-07-16";"15:48:02";"F";"458";"1";"0";"505";"-";"-"
"2021-07-16 15:49:03.877";"2021-07-16";"15:49:03";"F";"459";"0";"0";"504";"-";"-"
"2021-07-16 15:50:07.456";"2021-07-16";"15:50:07";"F";"460";"1";"0";"501";"-";"-"
"2021-07-16 15:51:08.625";"2021-07-16";"15:51:08";"F";"461";"0";"2";"498";"-";"-"
"2021-07-16 15:52:11.015";"2021-07-16";"15:52:11";"F";"462";"0";"3";"495";"-";"-"
"2021-07-16 15:53:14.066";"2021-07-16";"15:53:14";"F";"463";"1";"0";"493";"-";"-"
"2021-07-16 15:54:15.889";"2021-07-16";"15:54:15";"F";"464";"0";"0";"219";"-";"-"
"2021-07-16 15:55:18.631";"2021-07-16";"15:55:18";"F";"465";"0";"0";"265";"-";"-"
"2021-07-16 15:56:21.086";"2021-07-16";"15:56:21";"F";"466";"0";"0";"263";"-";"-"
"2021-07-16 15:57:23.896";"2021-07-16";"15:57:23";"F";"467";"0";"1";"261";"-";"-"
"2021-07-16 15:58:25.976";"2021-07-16";"15:58:25";"F";"468";"0";"0";"259";"-";"-"
"2021-07-16 15:59:27.564";"2021-07-16";"15:59:27";"F";"469";"0";"0";"259";"-";"-"
"2021-07-16 16:00:30.518";"2021-07-16";"16:00:30";"F";"470";"0";"0";"256";"-";"-"
"2021-07-16 16:01:32.404";"2021-07-16";"16:01:32";"F";"471";"0";"0";"255";"-";"-"
"2021-07-16 16:02:34.339";"2021-07-16";"16:02:34";"F";"472";"0";"0";"254";"-";"-"
"2021-07-16 16:03:36.823";"2021-07-16";"16:03:36";"F";"473";"0";"0";"252";"-";"-"
"2021-07-16 16:04:39.194";"2021-07-16";"16:04:39";"F";"474";"0";"0";"250";"-";"-"
"2021-07-16 16:05:42.001";"2021-07-16";"16:05:42";"F";"475";"0";"0";"249";"-";"-"
"2021-07-16 16:06:44.236";"2021-07-16";"16:06:44";"F";"476";"0";"0";"248";"-";"-"
"2021-07-16 16:07:47.048";"2021-07-16";"16:07:47";"F";"477";"0";"0";"246";"-";"-"
"2021-07-16 16:08:49.091";"2021-07-16";"16:08:49";"F";"478";"0";"0";"245";"-";"-"
"2021-07-16 16:09:50.643";"2021-07-16";"16:09:50";"F";"479";"0";"0";"244";"-";"-"
"2021-07-16 16:10:53.391";"2021-07-16";"16:10:53";"F";"480";"0";"0";"241";"-";"-"
"2021-07-16 16:11:55.565";"2021-07-16";"16:11:55";"F";"481";"0";"0";"241";"-";"-"
"2021-07-16 16:12:58.381";"2021-07-16";"16:12:58";"F";"482";"0";"0";"238";"-";"-"
"2021-07-16 16:14:00.232";"2021-07-16";"16:14:00";"F";"483";"0";"0";"236";"-";"-"
"2021-07-16 16:15:03.530";"2021-07-16";"16:15:03";"F";"484";"0";"0";"235";"-";"-"
"2021-07-16 16:16:04.781";"2021-07-16";"16:16:04";"F";"485";"0";"0";"233";"-";"-"
"2021-07-16 16:17:07.237";"2021-07-16";"16:17:07";"F";"486";"0";"0";"231";"-";"-"
"2021-07-16 16:18:09.982";"2021-07-16";"16:18:09";"F";"487";"0";"0";"231";"-";"-"
"2021-07-16 16:19:12.040";"2021-07-16";"16:19:12";"F";"488";"0";"0";"229";"-";"-"
"2021-07-16 16:20:15.017";"2021-07-16";"16:20:15";"F";"489";"0";"0";"229";"-";"-"
"2021-07-16 16:21:16.644";"2021-07-16";"16:21:16";"F";"490";"0";"0";"225";"-";"-"
"2021-07-16 16:22:20.330";"2021-07-16";"16:22:20";"F";"491";"0";"0";"225";"-";"-"
"2021-07-16 16:23:21.207";"2021-07-16";"16:23:21";"F";"492";"0";"0";"222";"-";"-"
"2021-07-16 16:24:23.573";"2021-07-16";"16:24:23";"F";"493";"0";"0";"221";"-";"-"
"2021-07-16 16:25:26.379";"2021-07-16";"16:25:26";"F";"494";"0";"0";"218";"-";"-"
"2021-07-16 16:26:28.873";"2021-07-16";"16:26:28";"F";"495";"0";"0";"218";"-";"-"
"2021-07-16 16:27:30.847";"2021-07-16";"16:27:30";"F";"496";"0";"0";"217";"-";"-"
"2021-07-16 16:28:33.281";"2021-07-16";"16:28:33";"F";"497";"0";"0";"215";"-";"-"
"2021-07-16 16:29:35.716";"2021-07-16";"16:29:35";"F";"498";"0";"0";"214";"-";"-"
"2021-07-16 16:30:38.081";"2021-07-16";"16:30:38";"F";"499";"0";"0";"211";"-";"-"
"2021-07-16 16:31:40.505";"2021-07-16";"16:31:40";"F";"500";"0";"0";"209";"-";"-"
"2021-07-16 16:32:42.166";"2021-07-16";"16:32:42";"F";"501";"0";"0";"208";"-";"-"
"2021-07-16 16:33:44.620";"2021-07-16";"16:33:44";"F";"502";"0";"0";"207";"-";"-"
