Site Name ,ODY12084
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,12084


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,16/07/2021 , 13:01:00,1721,1721
2,16/07/2021 , 13:02:00,1711,1711
3,16/07/2021 , 13:03:00,1700,1700
4,16/07/2021 , 13:04:00,1719,1719
5,16/07/2021 , 13:05:00,1740,1740
6,16/07/2021 , 13:06:00,1733,1733
7,16/07/2021 , 13:07:00,1725,1725
8,16/07/2021 , 13:08:00,1713,1713
9,16/07/2021 , 13:09:00,1701,1701
10,16/07/2021 , 13:10:00,1692,1692
11,16/07/2021 , 13:11:00,1681,1681
12,16/07/2021 , 13:12:00,1674,1674
13,16/07/2021 , 13:13:00,1664,1664
14,16/07/2021 , 13:14:00,1656,1656
15,16/07/2021 , 13:15:00,1646,1646
16,16/07/2021 , 13:16:00,1641,1641
17,16/07/2021 , 13:17:00,1634,1634
18,16/07/2021 , 13:18:00,1626,1626
19,16/07/2021 , 13:19:00,1618,1618
20,16/07/2021 , 13:20:00,1613,1613
21,16/07/2021 , 13:21:00,1609,1609
22,16/07/2021 , 13:22:00,1601,1601
23,16/07/2021 , 13:23:00,1594,1594
24,16/07/2021 , 13:24:00,1587,1587
25,16/07/2021 , 13:25:00,1585,1585
26,16/07/2021 , 13:26:00,1579,1579
27,16/07/2021 , 13:27:00,1573,1573
28,16/07/2021 , 13:28:00,1568,1568
29,16/07/2021 , 13:29:00,1562,1562
30,16/07/2021 , 13:30:00,1557,1557
31,16/07/2021 , 13:31:00,1553,1553
32,16/07/2021 , 13:32:00,1547,1547
33,16/07/2021 , 13:33:00,1545,1545
34,16/07/2021 , 13:34:00,1540,1540
35,16/07/2021 , 13:35:00,1537,1537
36,16/07/2021 , 13:36:00,1532,1532
37,16/07/2021 , 13:37:00,1529,1529
38,16/07/2021 , 13:38:00,1525,1525
39,16/07/2021 , 13:39:00,1521,1521
40,16/07/2021 , 13:40:00,1515,1515
41,16/07/2021 , 13:41:00,1512,1512
42,16/07/2021 , 13:42:00,1509,1509
43,16/07/2021 , 13:43:00,1507,1507
44,16/07/2021 , 13:44:00,1500,1500
45,16/07/2021 , 13:45:00,1496,1496
46,16/07/2021 , 13:46:00,1492,1492
47,16/07/2021 , 13:47:00,1487,1487
48,16/07/2021 , 13:48:00,1483,1483
49,16/07/2021 , 13:49:00,1481,1481
50,16/07/2021 , 13:50:00,1479,1479
51,16/07/2021 , 13:51:00,1477,1477
52,16/07/2021 , 13:52:00,1474,1474
53,16/07/2021 , 13:53:00,1471,1471
54,16/07/2021 , 13:54:00,1468,1468
55,16/07/2021 , 13:55:00,1467,1467
56,16/07/2021 , 13:56:00,1466,1466
57,16/07/2021 , 13:57:00,1461,1461
58,16/07/2021 , 13:58:00,1458,1458
59,16/07/2021 , 13:59:00,1454,1454
60,16/07/2021 , 14:00:00,1453,1453
61,16/07/2021 , 14:01:00,1450,1450
62,16/07/2021 , 14:02:00,1446,1446
63,16/07/2021 , 14:03:00,1444,1444
64,16/07/2021 , 14:04:00,1440,1440
65,16/07/2021 , 14:05:00,1438,1438
66,16/07/2021 , 14:06:00,1436,1436
67,16/07/2021 , 14:07:00,1433,1433
68,16/07/2021 , 14:08:00,1430,1430
69,16/07/2021 , 14:09:00,1429,1429
70,16/07/2021 , 14:10:00,1424,1424
71,16/07/2021 , 14:11:00,1422,1422
72,16/07/2021 , 14:12:00,1420,1420
73,16/07/2021 , 14:13:00,1418,1418
74,16/07/2021 , 14:14:00,1415,1415
75,16/07/2021 , 14:15:00,1410,1410
76,16/07/2021 , 14:16:00,1410,1410
77,16/07/2021 , 14:17:00,1409,1409
78,16/07/2021 , 14:18:00,1407,1407
79,16/07/2021 , 14:19:00,1403,1403
80,16/07/2021 , 14:20:00,1400,1400
81,16/07/2021 , 14:21:00,1397,1397
82,16/07/2021 , 14:22:00,1394,1394
83,16/07/2021 , 14:23:00,1395,1395
84,16/07/2021 , 14:24:00,1394,1394
85,16/07/2021 , 14:25:00,1389,1389
86,16/07/2021 , 14:26:00,1387,1387
87,16/07/2021 , 14:27:00,1384,1384
88,16/07/2021 , 14:28:00,1380,1380
89,16/07/2021 , 14:29:00,1379,1379
90,16/07/2021 , 14:30:00,1374,1374
91,16/07/2021 , 14:31:00,1373,1373
92,16/07/2021 , 14:32:00,1371,1371
93,16/07/2021 , 14:33:00,1366,1366
94,16/07/2021 , 14:34:00,1364,1364
95,16/07/2021 , 14:35:00,1358,1358
96,16/07/2021 , 14:36:00,1356,1356
97,16/07/2021 , 14:37:00,1352,1352
98,16/07/2021 , 14:38:00,1353,1353
99,16/07/2021 , 14:39:00,1351,1351
100,16/07/2021 , 14:40:00,1345,1345
101,16/07/2021 , 14:41:00,1343,1343
102,16/07/2021 , 14:42:00,1340,1340
