Site Name ,ODY7359
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,7359


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,16/07/2021 , 13:01:00,4165,4165
2,16/07/2021 , 13:02:00,4149,4149
3,16/07/2021 , 13:03:00,4134,4134
4,16/07/2021 , 13:04:00,4094,4094
5,16/07/2021 , 13:05:00,4117,4117
6,16/07/2021 , 13:06:00,4099,4099
7,16/07/2021 , 13:07:00,4091,4091
8,16/07/2021 , 13:08:00,4077,4077
9,16/07/2021 , 13:09:00,4064,4064
10,16/07/2021 , 13:10:00,4053,4053
11,16/07/2021 , 13:11:00,4041,4041
12,16/07/2021 , 13:12:00,4034,4034
13,16/07/2021 , 13:13:00,4021,4021
14,16/07/2021 , 13:14:00,4012,4012
15,16/07/2021 , 13:15:00,3996,3996
16,16/07/2021 , 13:16:00,3994,3994
17,16/07/2021 , 13:17:00,3988,3988
18,16/07/2021 , 13:18:00,3978,3978
19,16/07/2021 , 13:19:00,3966,3966
20,16/07/2021 , 13:20:00,3962,3962
21,16/07/2021 , 13:21:00,3961,3961
22,16/07/2021 , 13:22:00,3946,3946
23,16/07/2021 , 13:23:00,3942,3942
24,16/07/2021 , 13:24:00,3933,3933
25,16/07/2021 , 13:25:00,3933,3933
26,16/07/2021 , 13:26:00,3927,3927
27,16/07/2021 , 13:27:00,3920,3920
28,16/07/2021 , 13:28:00,3915,3915
29,16/07/2021 , 13:29:00,3907,3907
30,16/07/2021 , 13:30:00,3902,3902
31,16/07/2021 , 13:31:00,3898,3898
32,16/07/2021 , 13:32:00,3890,3890
33,16/07/2021 , 13:33:00,3889,3889
34,16/07/2021 , 13:34:00,3886,3886
35,16/07/2021 , 13:35:00,3883,3883
36,16/07/2021 , 13:36:00,3879,3879
37,16/07/2021 , 13:37:00,3876,3876
38,16/07/2021 , 13:38:00,3873,3873
39,16/07/2021 , 13:39:00,3868,3868
40,16/07/2021 , 13:40:00,3859,3859
41,16/07/2021 , 13:41:00,3855,3855
42,16/07/2021 , 13:42:00,3851,3851
43,16/07/2021 , 13:43:00,3850,3850
44,16/07/2021 , 13:44:00,3839,3839
45,16/07/2021 , 13:45:00,3834,3834
46,16/07/2021 , 13:46:00,3827,3827
47,16/07/2021 , 13:47:00,3820,3820
48,16/07/2021 , 13:48:00,3814,3814
49,16/07/2021 , 13:49:00,3813,3813
50,16/07/2021 , 13:50:00,3812,3812
51,16/07/2021 , 13:51:00,3811,3811
52,16/07/2021 , 13:52:00,3809,3809
53,16/07/2021 , 13:53:00,3804,3804
54,16/07/2021 , 13:54:00,3801,3801
55,16/07/2021 , 13:55:00,3803,3803
56,16/07/2021 , 13:56:00,3806,3806
57,16/07/2021 , 13:57:00,3797,3797
58,16/07/2021 , 13:58:00,3791,3791
59,16/07/2021 , 13:59:00,3784,3784
60,16/07/2021 , 14:00:00,3786,3786
61,16/07/2021 , 14:01:00,3783,3783
62,16/07/2021 , 14:02:00,3776,3776
63,16/07/2021 , 14:03:00,3772,3772
64,16/07/2021 , 14:04:00,3770,3770
65,16/07/2021 , 14:05:00,3768,3768
66,16/07/2021 , 14:06:00,3763,3763
67,16/07/2021 , 14:07:00,3761,3761
68,16/07/2021 , 14:08:00,3752,3752
69,16/07/2021 , 14:09:00,3754,3754
70,16/07/2021 , 14:10:00,3747,3747
71,16/07/2021 , 14:11:00,3742,3742
72,16/07/2021 , 14:12:00,3742,3742
73,16/07/2021 , 14:13:00,3740,3740
74,16/07/2021 , 14:14:00,3731,3731
75,16/07/2021 , 14:15:00,3718,3718
76,16/07/2021 , 14:16:00,3725,3725
77,16/07/2021 , 14:17:00,3723,3723
78,16/07/2021 , 14:18:00,3721,3721
79,16/07/2021 , 14:19:00,3714,3714
80,16/07/2021 , 14:20:00,3709,3709
81,16/07/2021 , 14:21:00,3701,3701
82,16/07/2021 , 14:22:00,3696,3696
83,16/07/2021 , 14:23:00,3699,3699
84,16/07/2021 , 14:24:00,3700,3700
85,16/07/2021 , 14:25:00,3690,3690
86,16/07/2021 , 14:26:00,3688,3688
87,16/07/2021 , 14:27:00,3678,3678
88,16/07/2021 , 14:28:00,3670,3670
89,16/07/2021 , 14:29:00,3670,3670
90,16/07/2021 , 14:30:00,3661,3661
91,16/07/2021 , 14:31:00,3659,3659
92,16/07/2021 , 14:32:00,3654,3654
93,16/07/2021 , 14:33:00,3645,3645
94,16/07/2021 , 14:34:00,3639,3639
95,16/07/2021 , 14:35:00,3622,3622
96,16/07/2021 , 14:36:00,3618,3618
97,16/07/2021 , 14:37:00,3612,3612
98,16/07/2021 , 14:38:00,3614,3614
99,16/07/2021 , 14:39:00,3612,3612
100,16/07/2021 , 14:40:00,3596,3596
101,16/07/2021 , 14:41:00,3592,3592
102,16/07/2021 , 14:42:00,3587,3587
