well,colony_id,,,
A1,BK,,,
A2,BK,,,
A3,OFAV_SS_0AZ4,,,
A4,OFAV_SS_0AZ4,,,
A5,OFAV_SS_0DW46,,,
A6,OFAV_SS_0DW46,,,
A7,OFAV_SS_0EV3,,,
A8,OFAV_SS_0EV3,,,
A9,OFAV_SS_1AZ5,,,
A10,OFAV_SS_1AZ5,,,
A11,OFAV_SS_2AZ2,,,
A12,OFAV_SS_2AZ2,,,
B1,OFAV_SS_2AZ21,,,
B2,OFAV_SS_2AZ21,,,
B3,OFAV_SS_2AZ7_P1,,,
B4,OFAV_SS_2AZ7_P1,,,
B5,OFAV_SS_2AZ7_P2,,,
B6,OFAV_SS_2AZ7_P2,,,
B7,OFAV_SS_2DW40,,,
B8,OFAV_SS_2DW40,,,
B9,OFAV_SS_2DW44,,,
B10,OFAV_SS_2DW44,,,
B11,OFAV_SS_2EV10,,,
B12,OFAV_SS_2EV10,,,
C1,NA,,,
C2,NA,,,
C3,OFAV_SS_2EV30,,,
C4,OFAV_SS_2EV30,,,
C5,OFAV_SS_2EV34,,,
C6,OFAV_SS_2EV34,,,
C7,OFAV_SS_2EV36,,,
C8,OFAV_SS_2EV36,,,
C9,OFAV_SS_2EV44,,,
C10,OFAV_SS_2EV44,,,
C11,OFAV_SS_2EV6,,,
C12,OFAV_SS_2EV6,,,
D1,OFAV_SS_2JQ31,,,
D2,OFAV_SS_2JQ31,,,
D3,OFAV_SS_2JQ6,,,
D4,OFAV_SS_2JQ6,,,
D5,OFAV_SS_2JQ8,,,
D6,OFAV_SS_2JQ8,,,
D7,OFAV_SS_3EV30,,,
D8,OFAV_SS_3EV30,,,
D9,OFAV_SS_3JQ1_P1,,,
D10,OFAV_SS_3JQ1_P1,,,
D11,OFAV_SS_3JQ1_P2,,,
D12,OFAV_SS_3JQ1_P2,,,
E1,OFAV_SS_4DW11,,,
E2,OFAV_SS_4DW11,,,
E3,OFAV_SS_4DW14,,,
E4,OFAV_SS_4DW14,,,
E5,OFAV_SS_4EV14,,,
E6,OFAV_SS_4EV14,,,
E7,OFAV_SS_4EV15,,,
E8,OFAV_SS_4EV15,,,
E9,OFAV_SS_4JQ12,,,
E10,OFAV_SS_4JQ12,,,
E11,OFAV_SS_6JQ16,,,
E12,OFAV_SS_6JQ16,,,
F1,OFAV_SS_8EV24,,,
F2,OFAV_SS_8EV24,,,
F3,OFAV_SS_9AZ10,,,
F4,OFAV_SS_9AZ10,,,
F5,OFAV_SS_9AZ7,,,
F6,OFAV_SS_9AZ7,,,
F7,OFAV_SS_9AZ81_P1,,,
F8,OFAV_SS_9AZ81_P1,,,
F9,OFAV_SS_9DW37_P1,,,
F10,OFAV_SS_9DW37_P1,,,
F11,OFAV_SS_9DW37_P2,,,
F12,OFAV_SS_9DW37_P2,,,
G1,OFAV_SS_9EV2_P1,,,
G2,OFAV_SS_9EV2_P1,,,
G3,OFAV_SS_9EV41,,,
G4,OFAV_SS_9EV41,,,
G5,OFAV_SS_9JQ5,,,
G6,OFAV_SS_9JQ5,,,
G7,NA,,,
G8,NA,,,
G9,NA,,,
G10,NA,,,
G11,NA,,,
G12,NA,,,
H1,NA,,,
H2,NA,,,
H3,NA,,,
H4,NA,,,
H5,NA,,,
H6,NA,,,
H7,NA,,,
H8,NA,,,
H9,NA,,,
H10,NA,,,
H11,NA,,,
H12,NA,,,
