"colony_id","A","CA","CH","CW","H","W","D","CA.A"
"OFAV_SS_0DW46",0.1304,0.0486,0.2274,0.2458,0.385,0.4468,7.229,0.372699386503067
"OFAV_SS_0EV3",0.0812,0.0352,0.2006,0.1972,0.3402,0.3236,12.701,0.433497536945813
"OFAV_SS_1AZ5",0.117,0.0496666666666667,0.227,0.216,0.426333333333333,0.392666666666667,8.902,0.424501424501425
"OFAV_SS_2AZ2",0.1248,0.038,0.1852,0.2154,0.3786,0.4276,9.066,0.30448717948718
"OFAV_SS_2AZ21",0.091,0.0434,0.227,0.2162,0.3678,0.3428,12.039,0.476923076923077
"OFAV_SS_2AZ7_P2",0.0798,0.034,0.192,0.1752,0.3266,0.3094,9.665,0.426065162907268
"OFAV_SS_2DW40",0.1048,0.0472,0.2268,0.1766,0.3718,0.3926,9.386,0.450381679389313
"OFAV_SS_2DW44",0.082,0.0302,0.1958,0.1674,0.3304,0.3218,13.012,0.368292682926829
"OFAV_SS_2EV10",0.0964,0.0354,0.2074,0.1756,0.3608,0.3428,9.217,0.367219917012448
"OFAV_SS_2EV3",0.1232,0.0564,0.2514,0.2268,0.4076,0.3938,10.504,0.457792207792208
"OFAV_SS_2EV30",0.1108,0.0466,0.2386,0.201,0.3784,0.3914,9.524,0.42057761732852
"OFAV_SS_2EV34",0.1176,0.0522,0.248,0.2322,0.3662,0.391,7.919,0.443877551020408
"OFAV_SS_2EV36",0.1124,0.0406,0.2006,0.2336,0.3514,0.394,8.537,0.361209964412811
"OFAV_SS_2EV44",0.0568,0.0152,0.16375,0.11175,0.282,0.2508,13.631,0.267605633802817
"OFAV_SS_2EV6",0.1206,0.0518,0.2344,0.2278,0.3626,0.3928,7.654,0.429519071310116
"OFAV_SS_2JQ31",0.1298,0.0562,0.2524,0.2298,0.415,0.3852,5.536,0.432973805855162
"OFAV_SS_2JQ6",0.1298,0.0584,0.261,0.2722,0.408,0.4366,8.088,0.449922958397535
"OFAV_SS_2JQ8",0.099,0.0412,0.2226,0.1998,0.3512,0.352,11.869,0.416161616161616
"OFAV_SS_3EV30",0.0792,0.0302,0.1974,0.1792,0.3214,0.3182,14.025,0.381313131313131
"OFAV_SS_3JQ1_P1",0.082,0.0348,0.2062,0.1862,0.2828,0.3178,10.806,0.424390243902439
"OFAV_SS_3JQ1_P2",0.1596,0.06325,0.2995,0.2358,0.4786,0.4012,8.065,0.396303258145363
"OFAV_SS_4DW11",0.0676,0.0328,0.194,0.174,0.3056,0.3022,NA,0.485207100591716
"OFAV_SS_4DW14",0.109,0.0488,0.2354,0.2376,0.379,0.391,10.786,0.447706422018349
"OFAV_SS_4EV14",0.1268,0.0438,0.2142,0.2248,0.3854,0.4246,7.533,0.345425867507886
"OFAV_SS_4EV15",0.108,0.0416,0.1926,0.2082,0.3592,0.37,10.779,0.385185185185185
"OFAV_SS_4JQ12",0.1218,0.0554,0.2488,0.2566,0.4024,0.3868,8.8,0.454844006568144
"OFAV_SS_6JQ16",0.0996,0.0448,0.2214,0.2184,0.366,0.3556,8.553,0.449799196787149
"OFAV_SS_8EV24",0.1,0.0468,0.2332,0.2038,0.3644,0.36,12.856,0.468
"OFAV_SS_9AZ10",0.0924,0.0424,0.2262,0.2102,0.3648,0.3102,10.204,0.458874458874459
"OFAV_SS_9AZ7",0.0634,0.0252,0.1744,0.1628,0.2954,0.2868,NA,0.397476340694006
"OFAV_SS_9AZ81_P1",0.1082,0.0502,0.2506,0.2364,0.3538,0.3728,9.852,0.463955637707948
"OFAV_SS_9DW37_P1",0.094,0.048,0.2352,0.2188,0.3646,0.33,9.009,0.51063829787234
"OFAV_SS_9DW37_P2",0.0986,0.0396,0.2144,0.2166,0.3354,0.3334,12.318,0.401622718052738
"OFAV_SS_9EV2_P1",0.091,0.038,0.2194,0.1908,0.3738,0.305,10.619,0.417582417582418
"OFAV_SS_9EV41",0.162,0.0646,0.2686,0.2498,0.4416,0.4392,9.252,0.398765432098765
"OFAV_SS_9JQ5",0.1216,0.0522,0.254,0.244,0.3962,0.4206,7.882,0.429276315789474
"OFRA_PP_0CX4",0.1602,0.0838,0.3028,0.2908,0.4444,0.4518,7.564,0.523096129837703
"OFRA_PP_0CX5",0.1468,0.0602,0.241,0.2562,0.3576,0.4902,6.601,0.41008174386921
"OFRA_PP_0GT1",0.1252,0.0632,0.3176,0.2276,0.473,0.3808,4.464,0.504792332268371
"OFRA_PP_0GT5",0.1334,0.0746,0.298,0.2702,0.4044,0.4432,6.525,0.559220389805097
"OFRA_PP_1GT37_P1",0.1506,0.071,0.2914,0.2364,0.4474,0.4028,7.929,0.471447543160691
"OFRA_PP_1GT37_P2",0.1566,0.0772,0.2922,0.2788,0.4174,0.4122,6.277,0.492975734355045
"OFRA_PP_1GT42_P2",0.1306,0.062,0.2192,0.2784,0.3552,0.4932,5.303,0.474732006125574
"OFRA_PP_2CX12_P1",0.1642,0.06825,0.3076,0.2892,0.4632,0.4772,6.021,0.415651644336175
"OFRA_PP_2CX12_P2",0.1528,0.074,0.2824,0.2774,0.436,0.433,7.446,0.484293193717277
"OFRA_PP_2GT10",0.1234,0.0658,0.2672,0.2808,0.4086,0.445,6.81,0.53322528363047
"OFRA_PP_2GT38",0.1335,0.06325,0.249,0.3035,0.3886,0.49325,6.529,0.473782771535581
"OFRA_PP_2GT3_P1",0.145,0.0754,0.298,0.2574,0.4342,0.4056,5.785,0.52
"OFRA_PP_2GT3_P2",0.152,0.064,0.2966,0.2488,0.4366,0.4016,6.869,0.421052631578947
"OFRA_PP_2GT41_P1",0.126,0.0476,0.2288,0.2622,0.4042,0.4746,7.177,0.377777777777778
"OFRA_PP_2GT41_P2",0.12,0.0524,0.259,0.2106,0.4166,0.367,6.325,0.436666666666667
"OFRA_PP_2GT7_P1",0.153333333333333,0.024,0.1978,0.2346,0.3796,0.4924,5.543,0.156521739130435
"OFRA_PP_2GT7_P2",0.1484,0.063,0.2858,0.256,0.437,0.4218,6.131,0.424528301886792
