"Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"15OFA4T",0.0004146,161.424,0,206.851,0.567,0.409,"C1","W"
"15OFA4T",0.056,145.81,0,231,0,0,"C5","CA"
"15OFA4T",0.0002324,146.847,0,199.333,0,0.229,"C1","CW"
"15OFA4T",0.143,168.378,0,223,0,0,"C1","A"
"15OFA4T",0.044,145.187,0,203,0,0,"C1","CA"
"15OFA4T",0.0005703,159.619,0.333,208.309,-89.382,0.563,"C2","H"
"15OFA4T",0.0002856,130.94,0.333,195,-90.206,0.281,"C2","CH"
"15OFA4T",0.0003327,156.102,0.086,209.759,0.354,0.328,"C2","W"
"15OFA5T",0.000532,156.974,94.526,211.333,-90.997,0.524,"C1","H"
"15OFA5T",0.0002311,152.782,0.333,200.711,1.279,0.227,"C2","CW"
"15OFA5T",0.114,181.669,0,232,0,0,"C2","A"
"15OFA5T",0.047,156.292,0,212,0,0,"C2","CA"
"15OFA5T",0.0004046,170.295,108.547,230.092,-88.98,0.398,"C3","H"
"15OFA5T",0.0002444,147.511,95.878,188.992,-89.275,0.24,"C3","CH"
"15OFA5T",0.0004252,167.391,0.333,216.537,0.416,0.419,"C3","W"
"15OFA5T",0.0002444,137.723,0.705,193,1.45,0.24,"C3","CW"
"15OFA5T",0.124,178.516,0,247,0,0,"C3","A"
"15OFA5T",0.041,147.977,0,217,0,0,"C3","CA"
"15OFA5T",0.0004108,156.868,2,240.397,-89.713,0.404,"C4","H"
"15OFA5T",0.0003081,121.118,92.523,153.333,-90.575,0.303,"C1","CH"
"15OFA5T",0.000266,145.094,110.194,197.31,-89.334,0.261,"C4","CH"
"15OFA5T",0.0003533,146.618,0,214.667,1.169,0.348,"C4","W"
"15OFA5T",0.0002229,126.355,0.338,179.667,1.326,0.219,"C4","CW"
"15OFA5T",0.107,165.967,0,245,0,0,"C4","A"
"15OFA5T",0.043,134.027,0,208,0,0,"C4","CA"
"15OFA5T",0.0004899,144.102,0.889,203.049,-90.602,0.482,"C5","H"
"15OFA5T",0.0002958,136.153,114.837,164.243,-90.998,0.291,"C5","CH"
"15OFA5T",0.0004067,146.841,1,193.543,-0.58,0.4,"C5","W"
"15OFA5T",0.0002526,140.064,2.261,191,-0.234,0.248,"C5","CW"
"15OFA5T",0.14,166.636,0,225,0,0,"C5","A"
"15OFA5T",0.0004375,160.868,83.667,223,0,0.431,"C1","W"
"15OFA5T",0.057,140.346,0,217,0,0,"C5","CA"
"15OFA5T",0.0002609,135.062,83.524,193.473,0.453,0.256,"C1","CW"
"15OFA5T",0.159,178.409,0,233,0,0,"C1","A"
"15OFA5T",0.061,144.619,0,224,0,0,"C1","CA"
"15OFA5T",0.000418,162.489,0.013,223.333,-92.539,0.412,"C2","H"
"15OFA5T",0.0002619,156.207,3.462,186.795,-93.155,0.258,"C2","CH"
"15OFA5T",0.0003481,170.779,1.667,214,0.678,0.343,"C2","W"
"30OFA1T",0.0004698,174.433,104,214.858,-89.885,0.484,"C1","H"
"30OFA1T",0.0002607,133.116,0.333,192.667,0,0.268,"C2","CW"
"30OFA1T",0.134,170.588,0,224,0,0,"C2","A"
"30OFA1T",0.057,153.291,0,207,0,0,"C2","CA"
"30OFA1T",0.0004435,186.591,0.941,220,-89.15,0.457,"C3","H"
"30OFA1T",0.0002494,149.086,0.333,204.333,-90,0.257,"C3","CH"
"30OFA1T",0.0004098,189.285,0.667,222.453,0.526,0.422,"C3","W"
"30OFA1T",0.0002504,170.561,0.466,211.333,0.215,0.258,"C3","CW"
"30OFA1T",0.14,194.057,0,235,0,0,"C3","A"
"30OFA1T",0.052,171.172,0,221,0,0,"C3","CA"
"30OFA1T",0.0004079,141.936,0,214,-90,0.42,"C4","H"
"30OFA1T",0.0002297,156.87,96.956,201.358,-90.235,0.236,"C1","CH"
"30OFA1T",0.0002729,136.732,0.333,204,-90,0.281,"C4","CH"
"30OFA1T",0.000452,187.169,104.78,223.484,-0.476,0.466,"C4","W"
"30OFA1T",0.0002532,181.605,106.867,207.333,0.213,0.26,"C4","CW"
"30OFA1T",0.151,192.745,0,242,0,0,"C4","A"
"30OFA1T",0.055,170.94,0,228,0,0,"C4","CA"
"30OFA1T",0.000392,152.768,2.657,195,-90.55,0.404,"C5","H"
"30OFA1T",0.0002307,125.949,0.446,189,-90.234,0.237,"C5","CH"
"30OFA1T",0.0003929,149.605,0.649,202.914,0.822,0.405,"C5","W"
"30OFA1T",0.000225,121.701,0,170,0,0.231,"C5","CW"
"30OFA1T",0.121,171.833,0,222,0,0,"C5","A"
"30OFA1T",0.0004529,174.221,95.302,225.137,-0.713,0.467,"C1","W"
"30OFA1T",0.043,148.546,0,213,0,0,"C5","CA"
"30OFA1T",0.0002757,153.845,94.333,198.333,0,0.284,"C1","CW"
"30OFA1T",0.158,186.897,0,236,0,0,"C1","A"
"30OFA1T",0.056,161.182,0,222,0,0,"C1","CA"
"30OFA1T",0.0004098,150.595,0.74,204.039,-86.448,0.422,"C2","H"
"30OFA1T",0.0002607,136.099,0.333,190.042,-88.139,0.268,"C2","CH"
"30OFA1T",0.0004154,152.57,0,199,0,0.428,"C2","W"
"30OFA2T",0.000308,162.556,106.952,194.524,-87.955,0.321,"C1","H"
"30OFA2T",0.0002523,127.014,0.667,193,0,0.263,"C2","CW"
"30OFA2T",0.137,146.856,0,214,0,0,"C2","A"
"30OFA2T",0.053,136.225,0,214,0,0,"C2","CA"
"30OFA2T",0.000414,158.488,0.338,206.844,-90.887,0.432,"C3","H"
"30OFA2T",0.0002358,151.039,0.852,206,-89.331,0.246,"C3","CH"
"30OFA2T",0.000521,161.34,91.667,212.667,0,0.544,"C3","W"
"30OFA2T",0.0002815,139.676,2.333,192.333,0,0.293,"C3","CW"
"30OFA2T",0.183,168.547,0,234,0,0,"C3","A"
"30OFA2T",0.054,158.802,0,232,0,0,"C3","CA"
"30OFA2T",0.0003263,110.468,0.356,167.775,-89.356,0.34,"C4","H"
"30OFA2T",0.0001846,147.855,56.317,194.07,-90.285,0.192,"C1","CH"
"30OFA2T",0.0002029,141.765,0.053,209.641,-89.482,0.211,"C4","CH"
"30OFA2T",0.0004881,150.694,0.667,214.79,0.537,0.51,"C4","W"
"30OFA2T",0.0002568,124.046,1.443,204.381,-0.614,0.268,"C4","CW"
"30OFA2T",0.122,151.186,0,226,0,0,"C4","A"
"30OFA2T",0.046,138.021,0,226,0,0,"C4","CA"
"30OFA2T",0.0003153,140.609,1.403,188.194,-87.337,0.329,"C5","H"
"30OFA2T",0.0002294,132.184,0.333,182.243,-87.252,0.239,"C5","CH"
"30OFA2T",0.0003985,132.229,0.502,167.26,0.132,0.416,"C5","W"
"30OFA2T",0.0002449,124.896,0.112,165.333,0.644,0.255,"C5","CW"
"30OFA2T",0.111,149.9,0,214,0,0,"C5","A"
"30OFA2T",0.0003647,135.838,0.047,174.903,-0.576,0.381,"C1","W"
"30OFA2T",0.047,140.937,0,214,0,0,"C5","CA"
"30OFA2T",0.0002385,140.254,0,181.856,-0.441,0.249,"C1","CW"
"30OFA2T",0.097,162.306,0,210,0,0,"C1","A"
"30OFA2T",0.037,149.197,0,209,0,0,"C1","CA"
"30OFA2T",0.0004232,134.492,0,206,-88.264,0.442,"C2","H"
"30OFA2T",0.0002513,110.027,0.333,203.445,-88.328,0.262,"C2","CH"
"30OFA2T",0.0004058,131.366,1.229,181.123,0.647,0.424,"C2","W"
"30OFA3T",0.0004134,135.563,0.213,213.559,-91.214,0.441,"C1","H"
