"","colony_id","sym.cm2"
"124","OFRA_PP_4CX12",190.621195675414
"125","OFRA_PP_4HS15",119.990574366926
"126","OFRA_PP_6EV18",90.0577513056702
"127","OFRA_PP_6GT17",169.704451002703
"128","OFRA_PP_8CX24",105.595249949938
"129","OFRA_PP_8HS21",141.219033131745
"130","OFRA_PP_8HS23",211.402137220743
"131","OFRA_PP_8HS24",267.232564829331
"132","OFRA_PS_0CX4",-2517.7730332007
"133","OFRA_PS_0CX5",106.415534443215
"134","OFRA_PS_0GT1",165.481503202633
"135","OFRA_PS_0GT3",244.925717579464
"136","OFRA_PS_1GT37",78.8172804595096
"137","OFRA_PS_1GT42",370.27561553275
"138","OFRA_PS_1GT43",63.3273884604433
"139","OFRA_PS_2CX10",264.341209137976
"140","OFRA_PS_2CX12",133.229647238388
"141","OFRA_PS_2CX13",53.5227864442261
"142","OFRA_PS_2CX8",99.5579466293824
"143","OFRA_PS_2GT10",230.021523199119
"144","OFRA_PS_2GT3",322.612330181679
"145","OFRA_PS_2GT41",233.331243459411
"146","OFRA_PS_2GT7",176.062087804888
"147","OFRA_PS_2HS11",171.532705527583
"148","OFRA_PS_2HS17",150.647424684068
"149","OFRA_PS_2HS27",193.780678729122
"150","OFRA_PS_2HS9",87.4593967564073
"151","OFRA_PS_4CX12",271.941378586023
"152","OFRA_PS_4HS13",168.436766872129
"153","OFRA_PS_4HS15",123.03920700153
"154","OFRA_PS_6CX18",125.884640544403
"155","OFRA_PS_6EV18",264.853258416015
"156","OFRA_PS_6GT17",96.213477359372
"157","OFRA_PS_8CX24",170.32261663762
"158","OFRA_PS_8HS23",152.714382189571
"159","OFRA_PS_8HS24",103.035429597585
"160","OFRA_PS_9CX5",144.306062434859
"161","OFRA_PS_9CX6",147.409193922472
"162","OFRA_PS_9GT30",47.2647928881477
"163","OFRA_PS_9GT47",153.95413711419
"164","OFAV_PS_365_P1",NA
"165","OFAV_PS_365_P2",NA
"166","OFAV_SP_0AZ24",NA
"167","OFAV_SP_0EV3_P1",NA
"168","OFAV_SP_0EV3_P2",NA
"169","OFAV_SP_2AZ21_P2",NA
"170","OFAV_SP_2AZ7_P1",NA
"171","OFAV_SP_3EV30_P1",NA
"172","OFAV_SP_3EV30_P3",NA
"173","OFAV_SP_3JQ1_P3",NA
"174","OFAV_SP_3JQ1_P4",NA
"175","OFAV_SS_1AZ5",NA
"176","OFAV_SS_2AZ7_P1",NA
"177","OFAV_SS_2AZ7_P2",NA
"178","OFAV_SS_3JQ1_P1",NA
"179","OFAV_SS_3JQ1_P2",NA
"180","OFAV_SS_9AZ81_P1",NA
"181","OFAV_SS_9DW37_P1",NA
"182","OFAV_SS_9DW37_P2",NA
"183","OFAV_SS_9EV2_P1",NA
"184","OFRA_PP_1GT37_P1",NA
"185","OFRA_PP_1GT37_P2",NA
"186","OFRA_PP_1GT42_P2",NA
"187","OFRA_PP_2CX12_P1",NA
"188","OFRA_PP_2CX12_P2",NA
"189","OFRA_PP_2GT3_P1",NA
"190","OFRA_PP_2GT3_P2",NA
"191","OFRA_PP_2GT41_P1",NA
"192","OFRA_PP_2GT41_P2",NA
"193","OFRA_PP_2GT7_P1",NA
"194","OFRA_PP_2GT7_P2",NA
"195","OFRA_PP_2HS17_P1",NA
"196","OFRA_PP_2HS17_P2",NA
"197","OFRA_PP_2HS9_P1",NA
"198","OFRA_PP_2HS9_P2",NA
"199","OFRA_PP_9CX5_P1",NA
"200","OFRA_PP_9CX5_P2",NA
"201","OFRA_PP_9GT30_P1",NA
"202","OFRA_PP_9GT30_P2",NA
"203","OFRA_PS_0GT5_P1",NA
"204","OFRA_PS_0GT5_P2",NA
"205","OFRA_PS_2GT38",NA
"206","OFRA_PS_2GT37",NA
