"2021-07-22";"10:19:40";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2021-06-24 17:14:51.999";"2021-06-24";"17:14:51";"SCHS";"";"Chart start ";""
"2021-06-24 17:14:52.000";"2021-06-24";"17:14:52";"F";"1";"307";"518";"141";"0.407";"24.1"
"2021-06-24 17:15:13.000";"2021-06-24";"17:15:13";"F";"2";"337";"520";"142";"0.352";"21.0"
"2021-06-24 17:15:34.000";"2021-06-24";"17:15:34";"F";"3";"337";"513";"143";"0.343";"20.6"
"2021-06-24 17:15:34.001";"2021-06-24";"17:15:34";"SICE";"";"Induction Curve end ";""
"2021-06-24 17:21:35.999";"2021-06-24";"17:21:35";"SLCS";"";"Light Curve start ";""
"2021-06-24 17:21:35.999";"2021-06-24";"17:21:35";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2021-06-24 17:21:35.999";"2021-06-24";"17:21:35";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2021-06-24 17:21:36.000";"2021-06-24";"17:21:36";"FO";"4";"222";"439";"31";"0.494";"6.4"
"2021-06-24 17:21:46.000";"2021-06-24";"17:21:46";"F";"5";"313";"404";"34";"0.225";"3.2"
"2021-06-24 17:21:57.000";"2021-06-24";"17:21:57";"F";"6";"276";"338";"34";"0.183";"2.6"
"2021-06-24 17:22:07.000";"2021-06-24";"17:22:07";"F";"7";"248";"291";"34";"0.148";"2.1"
"2021-06-24 17:22:18.000";"2021-06-24";"17:22:18";"F";"8";"230";"262";"35";"0.122";"1.8"
"2021-06-24 17:22:28.000";"2021-06-24";"17:22:28";"F";"9";"217";"241";"41";"0.100";"1.7"
"2021-06-24 17:22:39.000";"2021-06-24";"17:22:39";"F";"10";"206";"222";"42";"0.072";"1.3"
"2021-06-24 17:22:49.000";"2021-06-24";"17:22:49";"F";"11";"195";"206";"46";"0.053";"1.0"
"2021-06-24 17:23:00.000";"2021-06-24";"17:23:00";"F";"12";"185";"192";"50";"0.036";"0.8"
"2021-06-24 17:23:00.001";"2021-06-24";"17:23:00";"SLCE";"";"Light Curve end ";""
"2021-06-28 17:18:31.998";"2021-06-28";"17:18:31";"C";"";"MI=12;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=127;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-06-28 17:18:32.000";"2021-06-28";"17:18:32";"F";"14";"0";"0";"91";"-";"-"
"2021-06-28 17:18:35.000";"2021-06-28";"17:18:35";"F";"15";"2";"3";"92";"-";"-"
"2021-06-28 17:19:36.000";"2021-06-28";"17:19:36";"F";"16";"273";"740";"86";"0.631";"22.8"
"2021-06-28 17:27:40.998";"2021-06-28";"17:27:40";"C";"";"MI=12;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=129;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-06-28 17:27:41.000";"2021-06-28";"17:27:41";"F";"18";"590";"1606";"117";"0.633";"31.1"
"2021-07-06 18:38:38.000";"2021-07-06";"18:38:38";"F";"19";"0";"0";"63";"-";"-"
"2021-07-06 18:43:05.998";"2021-07-06";"18:43:05";"C";"";"MI=12;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=129;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-06 18:43:06.000";"2021-07-06";"18:43:06";"F";"21";"0";"4";"0";"-";"-"
"2021-07-07 14:03:25.998";"2021-07-07";"14:03:25";"C";"";"MI=12;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=129;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-07 14:03:26.000";"2021-07-07";"14:03:26";"F";"23";"0";"0";"0";"-";"-"
"2021-07-15 06:55:42.998";"2021-07-15";"06:55:42";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=129;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 06:55:43.000";"2021-07-15";"06:55:43";"F";"25";"0";"0";"0";"-";"-"
"2021-07-15 07:55:15.998";"2021-07-15";"07:55:15";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=129;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 07:55:16.000";"2021-07-15";"07:55:16";"F";"27";"0";"0";"338";"-";"-"
"2021-07-15 07:55:25.000";"2021-07-15";"07:55:25";"F";"28";"0";"0";"402";"-";"-"
"2021-07-15 07:55:35.000";"2021-07-15";"07:55:35";"F";"29";"0";"0";"416";"-";"-"
"2021-07-15 07:55:41.000";"2021-07-15";"07:55:41";"F";"30";"0";"0";"407";"-";"-"
"2021-07-15 07:55:47.000";"2021-07-15";"07:55:47";"F";"31";"0";"0";"376";"-";"-"
"2021-07-15 07:55:54.000";"2021-07-15";"07:55:54";"F";"32";"0";"0";"348";"-";"-"
"2021-07-15 07:55:59.000";"2021-07-15";"07:55:59";"F";"33";"0";"0";"322";"-";"-"
"2021-07-15 07:56:05.000";"2021-07-15";"07:56:05";"F";"34";"0";"0";"289";"-";"-"
"2021-07-15 07:56:11.000";"2021-07-15";"07:56:11";"F";"35";"0";"0";"248";"-";"-"
"2021-07-15 07:56:17.000";"2021-07-15";"07:56:17";"F";"36";"0";"0";"209";"-";"-"
"2021-07-15 07:56:23.000";"2021-07-15";"07:56:23";"F";"37";"0";"0";"187";"-";"-"
"2021-07-15 07:56:30.000";"2021-07-15";"07:56:30";"F";"38";"0";"0";"173";"-";"-"
"2021-07-15 07:56:38.000";"2021-07-15";"07:56:38";"F";"39";"0";"0";"147";"-";"-"
"2021-07-15 07:56:51.000";"2021-07-15";"07:56:51";"F";"40";"0";"0";"118";"-";"-"
"2021-07-15 07:57:54.000";"2021-07-15";"07:57:54";"F";"41";"0";"0";"139";"-";"-"
"2021-07-15 07:58:01.000";"2021-07-15";"07:58:01";"F";"42";"0";"0";"146";"-";"-"
"2021-07-15 07:59:14.000";"2021-07-15";"07:59:14";"F";"43";"0";"0";"131";"-";"-"
"2021-07-15 07:59:21.000";"2021-07-15";"07:59:21";"F";"44";"0";"0";"151";"-";"-"
"2021-07-15 07:59:26.000";"2021-07-15";"07:59:26";"F";"45";"0";"0";"170";"-";"-"
"2021-07-15 07:59:33.000";"2021-07-15";"07:59:33";"F";"46";"0";"0";"204";"-";"-"
"2021-07-15 07:59:38.000";"2021-07-15";"07:59:38";"F";"47";"0";"0";"238";"-";"-"
"2021-07-15 07:59:43.000";"2021-07-15";"07:59:43";"F";"48";"0";"0";"277";"-";"-"
"2021-07-15 07:59:49.000";"2021-07-15";"07:59:49";"F";"49";"0";"0";"351";"-";"-"
"2021-07-15 07:59:55.000";"2021-07-15";"07:59:55";"F";"50";"0";"0";"435";"-";"-"
"2021-07-15 08:00:00.000";"2021-07-15";"08:00:00";"F";"51";"0";"0";"478";"-";"-"
"2021-07-15 08:00:35.000";"2021-07-15";"08:00:35";"F";"52";"0";"0";"436";"-";"-"
"2021-07-15 08:00:40.000";"2021-07-15";"08:00:40";"F";"53";"0";"0";"448";"-";"-"
"2021-07-15 08:00:44.000";"2021-07-15";"08:00:44";"F";"54";"0";"0";"420";"-";"-"
"2021-07-15 08:00:48.000";"2021-07-15";"08:00:48";"F";"55";"0";"0";"409";"-";"-"
"2021-07-15 08:00:52.000";"2021-07-15";"08:00:52";"F";"56";"0";"0";"389";"-";"-"
"2021-07-15 08:00:57.000";"2021-07-15";"08:00:57";"F";"57";"0";"0";"378";"-";"-"
"2021-07-15 08:01:02.000";"2021-07-15";"08:01:02";"F";"58";"0";"0";"341";"-";"-"
"2021-07-15 08:01:07.000";"2021-07-15";"08:01:07";"F";"59";"0";"0";"304";"-";"-"
"2021-07-15 08:01:16.000";"2021-07-15";"08:01:16";"F";"60";"0";"0";"249";"-";"-"
"2021-07-15 08:01:22.000";"2021-07-15";"08:01:22";"F";"61";"0";"0";"241";"-";"-"
"2021-07-15 08:01:28.000";"2021-07-15";"08:01:28";"F";"62";"0";"0";"225";"-";"-"
"2021-07-15 08:01:34.000";"2021-07-15";"08:01:34";"F";"63";"0";"0";"208";"-";"-"
