 ,Area,Mean,Min,Max,Angle,Length
1,4.716E-4,159.299,0.322,229.041,-0.233,0.481
2,2.808E-4,153.546,0.000,234.000,0.000,0.286
3,3.930E-4,168.320,0.333,233.280,-89.580,0.400
4,2.425E-4,120.186,0.333,237.333,-90.000,0.247
5,0.154,170.893,0.000,242.000,0.000,0.000
6,0.058,163.876,0.000,239.000,0.000,0.000
7,3.939E-4,175.766,0.000,242.834,-88.324,0.402
8,2.415E-4,160.932,0.000,241.722,-87.491,0.246
9,4.073E-4,185.408,2.132,227.113,2.566,0.416
10,2.693E-4,186.908,1.462,232.695,2.454,0.274
11,0.133,182.606,0.000,253.000,0.000,0.000
12,0.051,191.448,0.000,253.000,0.000,0.000
13,3.345E-4,141.264,0.333,203.481,-89.835,0.341
14,2.128E-4,140.597,0.578,212.054,-89.482,0.216
15,4.792E-4,155.889,0.108,216.641,0.459,0.489
16,3.057E-4,139.267,0.333,204.330,0.541,0.311
17,0.138,161.018,0.000,236.000,0.000,0.000
18,0.056,154.440,0.000,231.000,0.000,0.000
19,3.748E-4,160.778,0.333,233.231,-87.651,0.382
20,2.463E-4,166.381,0.333,206.656,-88.657,0.251
21,4.323E-4,167.285,0.000,216.976,-0.891,0.441
22,2.751E-4,156.000,0.019,204.667,-0.801,0.280
23,0.133,167.072,0.000,243.000,0.000,0.000
24,0.051,163.512,0.000,229.000,0.000,0.000
25,3.278E-4,145.082,0.333,219.000,-90.000,0.334
26,2.358E-4,145.452,0.333,235.565,-89.766,0.240
27,4.744E-4,161.703,2.715,217.918,-0.928,0.484
28,2.760E-4,144.098,1.000,203.667,0.000,0.281
29,0.129,158.974,0.000,236.000,0.000,0.000
30,0.046,145.027,0.000,236.000,0.000,0.000
