full_treatment ,treatment,species,time,date (m/d/y),cage,genotype,alive,absent,dead,proof
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,0GT1,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,0GT1,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,0GT1,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,0GT1,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,0GT1,1,,,1
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,0GT3,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,0GT3,1,0,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,0GT3,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,0GT3,1,,,1
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,0GT5,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,0GT5,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,0GT5,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,0GT5,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,0GT5,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,0GT5,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,0GT5,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,0GT5,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,0GT5,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,0GT5,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,0GT5,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,0GT5,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,0GT5,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,0GT5,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,0GT5,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,0GT5,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,0GT5,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,0GT5,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,0GT5,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,0GT5,0,,,0
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,1GT36,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,1GT36,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,1GT36,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,1GT36,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,1GT36,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,1GT36,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,1GT36,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,1GT36,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,1GT36,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,1GT36,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,1GT36,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,1GT36,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,1GT36,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,1GT36,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,1GT36,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,1GT36,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,1GT36,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,1GT36,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,1GT36,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,1GT36,0,,,0
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,1GT37,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,1GT37,1,0,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,1GT37,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,1GT37,1,,,1
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,1GT42,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,1GT42,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,1GT42,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,1GT42,1,,,1
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,1GT43,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,1GT43,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,1GT43,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,1GT43,1,,,1
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,2CX10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,2CX10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,2CX10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,2CX10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,2CX10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,2CX10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,2CX10,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,2CX10,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,2CX10,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,2CX10,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,2CX10,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,2CX10,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,2CX10,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,2CX10,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,2CX10,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,2CX10,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,2CX10,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,2CX10,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,2CX10,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,2CX10,0,,,0
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,2CX11,0,1,0,1
