full_treatment ,treatment,species,time,date (m/d/y),cage,genotype,alive,absent,dead,proof
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,2CX11,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,2CX11,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,2CX11,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,2CX11,0,,,0
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,2CX12,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,2CX12,1,0,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,2CX12,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,2CX12,1,,,1
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,2CX13,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,2CX13,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,2CX13,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,2CX13,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,2CX13,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,2CX13,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,2CX13,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,2CX13,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,2CX13,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,2CX13,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,2CX13,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,2CX13,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,2CX13,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,2CX13,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,2CX13,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,2CX13,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,2CX13,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,2CX13,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,2CX13,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,2CX13,0,,,0
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,2CX8,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,2CX8,0,1,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,10-PP,2CX8,0,1,0,1
OFRA_PS,PS,OFRA,T1,5/3/21,1-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,2-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,3-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,4-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,5-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,6-PS,2CX8,0,,,0
OFRA_PS,PS,OFRA,T1,5/3/21,7-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,8-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,9-PS,2CX8,1,,,1
OFRA_PS,PS,OFRA,T1,5/3/21,10-PS,2CX8,0,,,0
OFRA_PP,PP,OFRA,T1,5/3/21,1-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,2-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,3-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,4-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,5-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,6-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,7-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,8-PP,2GT10,1,0,0,1
OFRA_PP,PP,OFRA,T1,5/3/21,9-PP,2GT10,1,0,0,1
