"","colony_id","Sym_AFDW_mg.cm2","Host_AFDW_mg.cm2"
"1","OFAV_PP_0GT1",4.67447916670319,4.79134114587077
"2","OFAV_PP_0HS3",NA,4.59166271926666
"3","OFAV_PP_2HS2",2.87275104736232,2.20244246964444
"4","OFAV_PP_2HS48",4.6803724926601,3.34312320904293
"5","OFAV_PP_2HS6",4.67849934184738,6.62787406761712
"6","OFAV_PP_310",6.42590343402958,3.43453459405029
"7","OFAV_PP_313",3.94467469858606,3.3694096383756
"8","OFAV_PP_352",2.9544792114704,4.00085726553283
"9","OFAV_PP_356",4.42400730249454,5.16134185291029
"10","OFAV_PP_357",4.00825242710664,4.37263901138906
"11","OFAV_PP_358",9.99287933632372,2.20772915569943
"12","OFAV_PP_359",6.42622157731109,6.33938074518527
"13","OFAV_PP_360",8.08302550627842,2.3364995604086
"14","OFAV_PP_362",2.54679399744405,2.10600272865566
"15","OFAV_PP_365",9.32851263940438,4.48486184586749
"16","OFAV_PP_366",3.04540918160937,2.74086826344844
"17","OFAV_PP_367",6.93719806807157,4.17808520008856
"18","OFAV_PP_368",2.90012239907997,5.92108323145494
"19","OFAV_PP_369",11.9071606170172,1.33442317259676
"20","OFAV_PP_371",2.46606994187848,2.46606994187848
"21","OFAV_PP_9AZ5",5.95992174408434,5.01175237570728
"22","OFAV_PP_9AZ9",3.83026188135436,3.54299224025278
"23","OFAV_PP_9EV35",3.9952305250001,7.7906995237502
"24","OFAV_PP_9EV4",7.91523762833808,7.51947574692117
"25","OFAV_PP_9EV40",3.76396475780376,4.43610132169729
"26","OFAV_PP_9EV5",3.53890353167419,3.5909462306694
"27","OFAV_PP_9GT35",8.14717982697443,6.53918380849263
"28","OFAV_PP_9GT4",4.38994565167289,8.23114809688666
"29","OFAV_PP_9GT46",NA,2.82625065840936
"30","OFAV_PP_9IR44",6.33934740909483,2.4432901472553
"31","OFAV_PP_9JQ4",1.4354531607395,2.63166412802241
"32","OFAV_PP_9JQ42",0,6.4886199795096
"33","OFAV_PP_9JQ43",2.32938931320191,3.66046892074586
"34","OFAV_PP_9JQ53",3.57298578210664,3.82819905225711
"35","OFAV_PP_AZ",7.68501529081533,3.07400611632613
"36","OFAV_PP_CX",4.25410187702232,6.38115281553348
"37","OFAV_PP_DW",11.2539184955506,6.21310083608525
"38","OFAV_PS_0HS2",1.68007799798507,4.76022099429104
"39","OFAV_PS_0HS3",4.80616996474183,6.48832945240147
"40","OFAV_PS_0HS4",6.87446808503116,3.43723404251558
"41","OFAV_PS_2HS12",4.09385964935623,5.24525767573767
"42","OFAV_PS_2HS48",8.90751879750037,4.36097274460955
"43","OFAV_PS_2HS6",7.75764627619342,3.97828014163765
