"","colony_id","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2"
"187","55OFR5ML",3.04518406280456,5.73211117704387
"188","15OFR2T",2.62764742578387,6.65670681198579
"189","15OFR3T",2.38172657600451,2.35814512475694
"190","15OFR4T",1.46468152448058,4.68698087833786
"191","15OFR5T",2.26931980042433,5.62535612499553
"192","30OFR1T",1.1377970023216,5.00630681021506
"193","30OFR2T",1.47452950146594,4.34598168853119
"194","30OFR3T",2.01713489746663,5.68465289286051
"195","30OFR4T",3.93011273909333,7.56910601603159
"196","30OFR5T",2.88116280924088,5.37817057724965
"197","45OFR1T",1.09042056074914,4.45650142219214
"198","45OFR2T",2.87625260060861,3.41357451500802
"199","45OFR3T",1.14396749420505,3.22005665035496
"200","45OFR4T",2.12111120708509,3.2395152980936
"201","45OFR5T",1.66280548216095,3.0232826948381
"202","45OFR6T",2.06784000024814,2.75712000033085
"203","45OFR7T",2.49593726252065,3.76199239568329
"204","45OFR8T",4.284108388638,3.96843724421204
"205","55OFR1T",2.52352785879647,3.46366568854418
"206","55OFR2T",1.85522404827843,3.02332807867596
"207","55OFR3T",2.44101987682907,3.85741412634717
"208","55OFR3T",1.38625820165602,3.85741412634717
"209","55OFR3T",2.44101987682907,3.85741412634717
"210","55OFR3T",1.38625820165602,3.85741412634717
"211","55OFR4T",1.78584183697561,6.2958491879818
"212","55OFR5T",1.50367051680045,6.87392236251636
"213","15PA1ML",NA,NA
"214","15PA2ML",NA,NA
"215","15PA3ML",NA,NA
"216","15PA4ML",NA,NA
"217","15PA5ML",NA,NA
"218","30PA1ML",NA,NA
"219","30PA2ML",NA,NA
"220","30PA3ML",NA,NA
"221","30PA4ML",NA,NA
"222","30PA5ML",NA,NA
"223","45PA1ML",NA,NA
"224","45PA2ML",NA,NA
"225","45PA3ML",NA,NA
"226","45PA4ML",NA,NA
"227","45PA5ML",NA,NA
"228","55PA1ML",NA,NA
"229","55PA2ML",NA,NA
"230","55PA3ML",NA,NA
"231","55PA4ML",NA,NA
"232","55PA5ML",NA,NA
"233","15PA1AT",NA,NA
"234","15PA1BT",NA,NA
"235","15PA2T",NA,NA
"236","15PA3T",NA,NA
"237","15PA4T",NA,NA
"238","15PA5T",NA,NA
"239","30PA1T",NA,NA
"240","30PA2T",NA,NA
"241","30PA3T",NA,NA
"242","30PA4T",NA,NA
"243","30PA5T",NA,NA
"244","45PA1",NA,NA
"245","45PA2T",NA,NA
"246","45PA3",NA,NA
"247","45PA4",NA,NA
"248","45PA5T",NA,NA
"249","45PA6T",NA,NA
"250","55PA1T",NA,NA
"251","55PA2T",NA,NA
"252","55PA3",NA,NA
"253","55PA4T",NA,NA
"254","55PA5T",NA,NA
"255","15PP1ML",NA,NA
"256","15PP2ML",NA,NA
"257","15PP3ML",NA,NA
"258","15PP4ML",NA,NA
"259","15PP5ML",NA,NA
"260","30PP1ML",NA,NA
"261","30PP2ML",NA,NA
"262","30PP3ML",NA,NA
"263","30PP4ML",NA,NA
"264","30PP5ML",NA,NA
"265","45PP1ML",NA,NA
"266","45PP2ML",NA,NA
"267","45PP3ML",NA,NA
"268","45PP4ML",NA,NA
"269","45PP5ML",NA,NA
"270","55PP1ML",NA,NA
"271","55PP2ML",NA,NA
"272","55PP3ML",NA,NA
"273","55PP4ML",NA,NA
"274","55PP5ML",NA,NA
"275","15PP1AT",NA,NA
"276","15PP1BT",NA,NA
"277","15PP2T",NA,NA
"278","15PP3T",NA,NA
"279","15PP4T",NA,NA
"280","15PP5T",NA,NA
"281","30PP1T",NA,NA
"282","30PP2T",NA,NA
"283","30PP3T",NA,NA
"284","30PP4T",NA,NA
"285","30PP5T",NA,NA
"286","45PP1T",NA,NA
"287","45PP2T",NA,NA
"288","45PP3T",NA,NA
"289","45PP4T",NA,NA
"290","45PP5T",NA,NA
"291","45PP6T",NA,NA
"292","45PP7T",NA,NA
"293","55PP1T",NA,NA
"294","55PP2T",NA,NA
"295","55PP3T",NA,NA
"296","55PP4T",NA,NA
"297","55PP5T",NA,NA
"298","55PP6T",NA,NA
"299","55PP7T",NA,NA
"300","15OF2AT",NA,NA
"301","15OF2BT",NA,NA
"302","15OFA1BT",NA,NA
"303","15OFR1T",NA,NA
"304","45PA1T",NA,NA
"305","45PA3T",NA,NA
"306","45PA4T",NA,NA
"307","55PA3T",NA,NA
"308","45OFAML",NA,NA
"309","450FA2T",NA,NA
