pan_number,colony_id,sym_host,sample_volume,pan_weight,pan_dry_sample,tissue_biomass,pan_burned_sample,AFDW(g/ml)
1,OFAV_PS_9JQ431,HOST,4,0.9547,1.0032,0.0485,0.9957,0.001875
2,OFAV_PP_358,HOST,4,0.9498,0.9975,0.0477,0.9937,0.000950
3,OFAV_PS_9JQ53,HOST,4,0.9371,0.9807,0.0436,0.9768,0.000975
4,OFAV_PP_2HS2,HOST,4,0.9730,1.0274,0.0544,1.0182,0.002300
5,OFAV_PS_359,HOST,4,0.9552,1.0017,0.0465,0.9967,0.001250
6,OFAV_PS_365_P1,HOST,4,0.9596,1.0077,0.0481,1.0021,0.001400
7,OFAV_SP_0EV3_P2,HOST,4,0.9512,0.9962,0.0450,0.9929,0.000825
8,OFAV_PS_AZ,HOST,4,0.9474,0.9884,0.0410,0.9838,0.001150
9,OFAV_PP_310,HOST,4,0.9566,1.0065,0.0499,1.0003,0.001550
10,OFAV_PS_9AZ5,HOST,4,0.9605,1.0042,0.0437,1.0014,0.000700
11,OFAV_PP_9EV5,HOST,4,0.9581,1.0067,0.0486,0.9998,0.001725
12,OFAV_PP_356,HOST,4,0.9560,0.9992,0.0432,0.9950,0.001050
13,OFAV_PP_360,HOST,4,0.9642,1.0094,0.0452,1.0057,0.000925
14,OFAV_PS_9EV4,HOST,4,0.9612,1.0074,0.0462,1.0013,0.001525
15,OFAV_PS_370,HOST,4,0.9606,1.0084,0.0478,1.0021,0.001575
16,OFAV_PP_352,HOST,4,0.9570,1.0061,0.0491,0.9996,0.001625
17,OFAV_PP_AZ,HOST,4,0.9658,1.0030,0.0372,1.0014,0.000400
18,OFAV_PS_9GT35,HOST,4,0.9472,0.9983,0.0511,0.9898,0.002125
19,OFAV_PS_371,HOST,4,0.9733,1.0226,0.0493,1.0156,0.001750
20,OFAV_SP_3EV30_P1,HOST,4,0.9526,0.9983,0.0457,0.9957,0.000650
21,OFAV_PS_9JQ431,SYM,1,0.9542,0.9669,0.0127,0.9648,0.002100
22,OFAV_PP_358,SYM,1,0.9520,0.9809,0.0289,0.9766,0.004300
23,OFAV_PS_9JQ53,SYM,1,0.9478,0.9654,0.0176,0.9630,0.002400
24,OFAV_PP_2HS2,SYM,1,0.9529,0.9727,0.0198,0.9697,0.003000
25,OFAV_PS_359,SYM,1,0.9696,0.9907,0.0211,0.9879,0.002800
26,OFAV_PS_365_P1,SYM,1,0.9612,0.9779,0.0167,0.9760,0.001900
27,OFAV_SP_0EV3_P2,SYM,1,0.9533,0.9719,0.0186,0.9694,0.002500
28,OFAV_PS_AZ,SYM,1,0.9693,0.9833,0.0140,0.9812,0.002100
29,OFAV_PP_310,SYM,1,0.9481,0.9653,0.0172,0.9624,0.002900
30,OFAV_PS_9AZ5,SYM,1,0.9580,0.9762,0.0182,0.9732,0.003000
31,OFAV_PP_9EV5,SYM,1,0.9590,0.9712,0.0122,0.9695,0.001700
32,OFAV_PP_356,SYM,1,0.9661,0.9797,0.0136,0.9788,0.000900
33,OFAV_PP_360,SYM,1,0.9529,0.9716,0.0187,0.9684,0.003200
34,OFAV_PS_9EV4,SYM,1,0.9519,0.9641,0.0122,0.9634,0.000700
35,OFAV_PS_370,SYM,1,0.9637,0.9837,0.0200,0.9796,0.004100
36,OFAV_PP_352,SYM,1,0.9429,0.9551,0.0122,0.9539,0.001200
37,OFAV_PP_AZ,SYM,1,0.9568,0.9696,0.0128,0.9686,0.001000
38,OFAV_PS_9GT35,SYM,1,0.9721,0.9874,0.0153,0.9845,0.002900
39,OFAV_PS_371,SYM,1,0.9763,0.9928,0.0165,0.9894,0.003400
