pan_number,colony_id,sym_host,sample_volume,pan_weight,pan_dry_sample,tissue_biomass,pan_burned_sample,AFDW(g/ml)
99,OFAV_PP_367,HOST,4,0.9481,0.9965,0.0484,0.9912,0.001325
100,OFAV_PP_9JQ43,HOST,4,0.9575,1.0028,0.0453,0.9984,0.001100
101,OFAV_PP_9AZ9,SYM,1,0.9674,0.9803,0.0129,0.9793,0.001000
102,OFAV_PS_9EV35,SYM,1,0.9554,0.9673,0.0119,0.9673,0.000000
103,OFAV_PP_9IR44,SYM,1,0.9697,0.9904,0.0207,0.9880,0.002400
104,OFAV_PP_313,SYM,1,0.9428,0.9558,0.0130,0.9546,0.001200
105,OFAV_PP_371,SYM,1,0.9650,0.9780,0.0130,0.9769,0.001100
106,OFAV_PP_9AZ5,SYM,1,0.9618,0.9767,0.0149,0.9756,0.001100
107,OFAV_PS_2HS12,SYM,1,0.9570,0.9702,0.0132,0.9694,0.000800
108,OFAV_PP_2HS48,SYM,1,0.9690,0.9858,0.0168,0.9844,0.001400
109,OFAV_PS_367,SYM,1,0.9575,0.9705,0.0130,0.9694,0.001100
110,OFAV_PS_369,SYM,1,0.9725,0.9907,0.0182,0.9878,0.002900
111,OFAV_PS_2HS6,SYM,1,0.9516,0.9711,0.0195,0.9672,0.003900
112,OFAV_PP_9JQ42,SYM,1,0.9480,0.9606,0.0126,0.9606,0.000000
113,OFAV_PP_9GT46,SYM,1,0.9449,0.9604,0.0155,0.9615,-0.001100
114,OFAV_PP_362,SYM,1,0.9554,0.9696,0.0142,0.9683,0.001300
115,OFAV_PP_9JQ4,SYM,1,0.9661,0.9816,0.0155,0.9813,0.000300
116,OFAV_PP_357,SYM,1,0.9578,0.9728,0.0150,0.9717,0.001100
117,OFAV_PS_313,SYM,1,0.9587,0.9742,0.0155,0.9724,0.001800
118,OFAV_PS_2HS48,SYM,1,0.9492,0.9658,0.0166,0.9634,0.002400
119,OFAV_PP_367,SYM,1,0.9473,0.9646,0.0173,0.9624,0.002200
120,OFAV_PP_9JQ43,SYM,1,0.9421,0.9548,0.0127,0.9541,0.000700
121,OFRA_PS_0CX5,HOST,4,0.9495,0.9966,0.0471,0.9897,0.001725
122,OFRA_PP_2CX12_P1,HOST,4,0.9652,1.0178,0.0526,1.0093,0.002125
123,OFRA_PP_1GT37_P1,HOST,4,0.9529,0.9971,0.0442,0.9928,0.001075
124,OFRA_PP_2HS17_P2,HOST,4,0.9578,1.0040,0.0462,0.9978,0.001550
125,OFRA_PP_2HS9_P1,HOST,4,0.9633,1.0086,0.0453,1.0050,0.000900
126,OFAV_PS_357,HOST,4,0.9786,1.0265,0.0479,1.0208,0.001425
127,OFAV_PS_362,HOST,4,0.9529,1.0011,0.0482,0.9961,0.001250
128,OFAV_PS_352,HOST,4,0.9628,1.0089,0.0461,1.0044,0.001125
129,OFAV_PP_366,HOST,4,0.9450,0.9929,0.0479,0.9875,0.001350
130,OFAV_PP_2HS6,HOST,4,0.9689,1.0152,0.0463,1.0101,0.001275
131,OFAV_PP_DW,HOST,4,0.9874,1.0340,0.0466,1.0287,0.001325
132,OFAV_PP_CX,HOST,4,0.9718,1.0141,0.0423,1.0063,0.001950
133,OFAV_PS_EV,HOST,4,0.9777,1.0244,0.0467,1.0190,0.001350
134,OFAV_PS_0HS3,HOST,4,0.9541,1.0014,0.0473,0.9960,0.001350
135,OFAV_PP_0HS4,HOST,4,0.9449,0.9919,0.0470,0.9860,0.001475
136,OFAV_PS_9GT4,HOST,4,0.9767,1.0188,0.0421,1.0158,0.000750
137,OFAV_PP_9EV4,HOST,4,0.9746,1.0205,0.0459,1.0148,0.001425
138,OFAV_PP_9EV35,HOST,4,0.9767,1.0154,0.0387,1.0115,0.000975
139,OFAV_PP_9GT35,HOST,4,0.9646,1.0094,0.0448,1.0033,0.001525
140,OFAV_PP_9JQ53,HOST,4,0.9315,0.9734,0.0419,0.9704,0.000750
141,OFRA_PS_0CX5,SYM,1,0.9556,0.9705,0.0149,0.9671,0.003400
142,OFRA_PP_2CX12_P1,SYM,1,0.9534,0.9688,0.0154,0.9668,0.002000
143,OFRA_PP_1GT37_P1,SYM,1,0.9480,0.9633,0.0153,0.9621,0.001200
144,OFRA_PP_2HS17_P2,SYM,1,0.9536,0.9691,0.0155,0.9663,0.002800
145,OFRA_PP_2HS9_P1,SYM,1,0.9515,0.9647,0.0132,0.9629,0.001800
146,OFAV_PS_357,SYM,1,0.9536,0.9681,0.0145,0.9647,0.003400
147,OFAV_PS_362,SYM,1,0.9535,0.9780,0.0245,0.9739,0.004100
148,OFAV_PS_352,SYM,1,0.9621,0.9786,0.0165,0.9755,0.003100
149,OFAV_PP_366,SYM,1,0.9606,0.9739,0.0133,0.9724,0.001500
150,OFAV_PP_2HS6,SYM,1,0.9541,0.9667,0.0126,0.9658,0.000900
151,OFAV_PP_DW,SYM,1,0.9490,0.9628,0.0138,0.9604,0.002400
152,OFAV_PP_CX,SYM,1,0.9540,0.9667,0.0127,0.9654,0.001300
153,OFAV_PS_EV,SYM,1,0.9570,0.9746,0.0176,0.9718,0.002800
154,OFAV_PS_0HS3,SYM,1,0.9692,0.9816,0.0124,0.9806,0.001000
155,OFAV_PP_0HS4,SYM,1,0.9470,0.9593,0.0123,0.9585,0.000800
156,OFAV_PS_9GT4,SYM,1,0.9385,0.9508,0.0123,0.9485,0.002300
157,OFAV_PP_9EV4,SYM,1,0.9527,0.9653,0.0126,0.9638,0.001500
158,OFAV_PP_9EV35,SYM,1,0.9524,0.9633,0.0109,0.9628,0.000500
159,OFAV_PP_9GT35,SYM,1,0.9759,0.9873,0.0114,0.9854,0.001900
160,OFAV_PP_9JQ53,SYM,1,0.9693,0.9802,0.0109,0.9795,0.000700
161,OFRA_PS_0CX4,HOST,4,0.9641,1.0135,0.0494,1.0077,0.001450
162,OFRA_PS_1GT43,HOST,4,0.9477,0.9928,0.0451,0.9882,0.001150
163,OFRA_PS_1GT42,HOST,4,0.9413,0.9860,0.0447,0.9820,0.001000
164,OFRA_PP_2HS27,HOST,4,0.9642,1.0104,0.0462,1.0056,0.001200
165,OFRA_PP_8HS21,HOST,4,0.9605,1.0078,0.0473,1.0039,0.000975
